=0	=0	=0	=0	=0
16%13	.	.	.	1
16	0	4	Now	6
16	1	.	let	5
16	0	.	me	6
=1	=1	=1	=1	=1
16	1	.	wel-	1
16	0	.	-come	6
16	1	.	e-	5
16	0	.	-very-	6
16	1	.	-bo-	4
16	0	.	-dy	6
16	1	.	to	5
16	0	.	the	6
8	1	.	wild	3
8	1	.	wild	6
8	1	.	west.	5
16	.	.	.	6
16	0	3	A	4
=2	=2	=2	=2	=2
8	1	.	state	1
16	1	.	that's	6
16	0	.	un-	5
16	1	.	-tou-	6
16	0	.	-cha-	4
16	0	.	-ble	6
16	0	1	like	5
16	1	.	E-	6
16	0	.	-lli-	3
16	0	.	-ot	6
8	1	.	Ness.	5
16	0	3	The	6
8	1	.	track	4
=3	=3	=3	=3	=3
16	1	.	hits	1
16	0	.	ya	6
8	1	.	ear-	5
8	1	.	-drum	6
16	1	1	like	4
16	0	.	a	6
16	1	.	slug	5
16	0	.	to	6
16	0	.	ya	3
8	1	.	chest.	6
16	.	.	.	5
16	1	3	Pack	6
16	0	.	a	4
=4	=4	=4	=4	=4
8	1	.	vest	1
16	1	1	for	6
16	0	.	your	5
16	1	.	Ji-	6
16	0	.	-mmy	4
16	1	.	in	6
16	0	.	the	5
16	1	.	ci-	6
16	0	.	-ty	3
16	0	.	of	6
8	1	.	sex.	5
16	0	3	We	6
16	1	.	in	4
16	0	.	that	6
=5	=5	=5	=5	=5
8	1	.	sun-	1
8	1	.	-shine	6
8	1	.	state	5
16	1	1	where	6
16	0	.	the	4
16	1	.	bomb	6
8	0	.	ass	5
8	1	.	hemp	6
16	0	.	be.	3
16	.	.	.	6
16	0	3	The	5
=6	=6	=6	=6	=6
8	1	.	state	1
16	1	.	where	6
16	0	.	ya	5
16	1	.	ne-	6
16	0	.	-ver	4
16	1	.	find	6
16	0	.	a	5
16	1	.	dance	6
8	0	.	floor	3
8	1	.	emp-	6
16	0	.	-ty.	5
16	.	.	.	6
16	0	3	And	4
=7	=7	=7	=7	=7
8	1	.	pimps	1
16	0	.	be	6
16	.	.	.	5
16	1	1	on	6
16	0	.	a	4
16	1	.	mi-	6
16	0	.	-ssion	5
16	1	.	for	6
8	0	.	them	3
8.	1	.	greens.	6
16	.	.	.	5
8	1	3	:Lean	6
=8	=8	=8	=8	=8
8	0	.	mean	1
16	1	.	mo-	6
16	0	.	-ney	5
16	1	.	ma-	6
16	0	.	-kin'	4
16	0	.	ma-	6
8	1	.	-chines	5
16	1	2	ser-	6
16	0	.	-vin'	3
8	1	.	fiends.	6
16	.	.	.	5
16	0	4	I	6
=9	=9	=9	=9	=9
16	1	.	been	1
16	0	.	in	6
16	0	.	the	5
8	1	.	game	6
16	0	.	for	4
8	1	.	ten	6
8	1	.	years	5
16	1	1	ma-	6
16	0	.	-kin'	3
8	1	.	rap	6
4	1	.	tunes.	5
=10	=10	=10	=10	=10
8	.	.	.	1
16	1	3	E-	6
16	0	.	-ver	5
16	0	.	since	6
16	1	.	ho-	4
16	0	.	-neys	6
16	0	.	was	5
16	1	.	wear-	6
16	0	.	-in'	3
8	1	.	sa-	6
8	1	.	-ssoon.	5
=11	=11	=11	=11	=11
16	1	3	Now	1
16	0	.	it's	6
16	1	.	nine-	5
16	0	.	-ty	6
8	1	.	five	4
16	1	1	and	6
16	0	.	they	5
16	1	.	clock	6
16	0	.	me	3
16	0	.	and	6
8	1	.	watch	5
16	0	.	me.	6
8	1	2	Dia-	4
=12	=12	=12	=12	=12
16	0	.	-monds	1
16	1	.	shin-	6
16	0	.	-in'.	5
16	.	.	.	6
16	1	3	;Loo-	4
16	0	.	-kin'	6
16	1	.	like	5
16	0	.	I	6
8	1	.	robbed	3
16	1	.	Li-	6
16	0	.	-ber-	5
16	1	.	-a-	6
16	0	.	-ce.	4
16	.	.	.	6
16	0	3	It's	5
=13	=13	=13	=13	=13
8.	1	.	all	1
8	1	.	good	6
16	.	.	.	5
16	0	1	from	6
16	0	.	Di-	4
16	1	.	-e-	6
16	0	.	-go	5
16	1	.	to	6
16	0	.	the	3
8	1	.	Bay.	6
16	.	.	.	5
16	0	3	Your	6
=14	=14	=14	=14	=14
16	1	.	ci-	1
16	0	.	-ty	6
16	1	.	is	5
16	0	.	the	6
8	1	.	bomb,	4
16	1	1	if	6
16	0	.	your	5
16	1	.	ci-	6
16	0	.	-ty	3
16	1	.	ma-	6
16	0	.	-kin'	5
8	1	.	pay.	6
8	.	.	.	4
=15	=15	=15	=15	=15
16	.	.	.	1
16	0	3	Throw	6
16	1	.	up	5
16	0	.	a	6
16	1	.	fing-	4
16	0	.	-er	6
16	1	.	if	5
16	0	.	ya	6
16	1	.	feel	3
16	0	.	the	6
8	1	.	same	5
16	1	.	way.	6
8	.	.	.	4
8	1	3	Dre	6
=16	=16	=16	=16	=16
16	1	.	pu-	1
16	0	.	-ttin'	6
16	0	.	it	5
16	1	.	down	6
16	0	.	for	4
16	1	.	Ca-	6
16	0	.	-li-	5
8	1	.	-forn	6
8	1	.	I	3
4	1	.	A.	6
=0	=0	=0	=0	=0
2.	.	.	.	1
16	1	4	Out	6
8	0	.	on	5
8	1	.	bail	6
=1	=1	=1	=1	=1
16	0	2	Fresh	1
16	1	.	out	6
16	0	.	of	5
8	1	.	jail	6
16	1	2	Ca-	4
16	0	.	-li-	6
16	1	.	-for-	5
16	0	.	-nia	6
16	1	.	drea-	3
16	0	.	-min'.	6
16	.	.	.	5
16	0	3	Soon	6
16	1	.	as	4
16	0	.	I	6
=2	=2	=2	=2	=2
16	1	.	step	1
16	0	.	on	6
16	0	.	the	5
8	1	.	scene	6
16	0	1	I'm	4
16	1	.	hear-	6
16	0	.	-in'	5
16	1	.	hoo-	6
16	0	.	-chies	3
16	1	.	scream-	6
16	0	.	-in'.	5
16	.	.	.	6
16	1	3	Fien-	4
16	0	.	-din'	6
16	0	.	for	5
=3	=3	=3	=3	=3
16	1	.	mo-	1
16	0	.	-ney	6
16	0	.	and	5
16	1	.	al-	6
16	0	.	-co-	4
8	1	.	-hol;	6
16	0	3	The	5
8	1	.	life	6
16	0	.	of	3
16	0	.	a	6
8	1	.	West-	5
8	1	.	-side	6
=4	=4	=4	=4	=4
16	1	.	play-	1
16	0	.	-er.	6
16	0	3	Where	5
16	1	.	co-	6
16	0	.	-wards	4
16	1	.	die	6
16	0	1	and	5
16	0	.	the	6
8	1	.	strong	3
8	1	.	ball.	6
16	.	.	.	5
16	1	3	On-	6
16	0	.	-ly	4
16	0	.	in	6
=5	=5	=5	=5	=5
16	1	.	Ca-	1
16	0	.	-li	6
16	1	1	where	5
16	0	.	we	6
16	1	.	ri-	4
16	0	.	-ot	6
16	0	.	not	5
16	1	1	ra-	6
16	0	.	-lly	3
16	0	.	to	6
16	1	.	live	5
16	0	.	and	6
16	1	.	die.	4
16	.	.	.	6
16	1	3	In	5
16	0	.	L-	6
=6	=6	=6	=6	=6
16	1	.	-A	1
16	0	.	we	6
16	1	.	wear-	5
16	0	.	-in'	6
8	1	.	Chucks	4
16	0	.	not	6
16	1	.	Ba-	5
16	0	.	-llies.	6
16	0	2	Yeah	3
8	1	.	that's	6
8	1	.	right.	5
16	1	3	Dressed	6
16	0	.	in	4
=7	=7	=7	=7	=7
8	1	.	Locs	1
16	0	.	and	6
16	1	.	kha-	5
16	0	.	-ki	6
16	1	.	suits.	4
8	0	2	,And	6
8	1	.	ride	5
16	0	.	is	6
16	1	.	what	3
16	0	.	we	6
16	1	.	do.	5
16	.	.	.	6
16	1	3	Flo-	4
=8	=8	=8	=8	=8
16	0	.	-ssin'	1
16	0	.	but	6
8	1	.	have	5
