=1	=1	=1	=1	=1
8	1	4	Got	1
8	0	.	this	6
8	1	.	dance	5
8	0	.	that's	6
16	1	.	more	4
8	0	.	than	6
16%5	1	.	real.	5
=2	=2	=2	=2	=2
8	1	3	Drink	1
8	0	.	brass	6
16	1	.	mon-	5
16	0	.	-key	6
8	1	.	here's	4
8	1	.	how	6
16	0	.	you	5
8	1	.	feel.	6
16	0	3	You	3
16	1	.	put	6
16	0	.	your	5
=3	=3	=3	=3	=3
8	1	.	left	1
8	0	.	leg	6
8.	1	.	down,	5
16	0	3	your	6
8	1	.	right	4
8	0	.	leg	6
4	1	.	up;	5
=4	=4	=4	=4	=4
16	1	3	Tilt	1
16	0	.	your	6
8	1	.	head	5
8	1	.	back;	6
8	1	.	let's	4
16	1	.	fi-	6
16	0	.	-nish	5
16	0	.	the	6
8	1	.	cup.	3
8	1	4	M	6
16	0	.	C	5
=5	=5	=5	=5	=5
8	1	.	A	1
16	1	.	with	6
16	0	.	the	5
16	1	.	bo-	6
8.	0	.	-ttle	4
16	1	3	D	6
8	0	.	rocks	5
16	0	.	the	6
8	1	.	can.	3
8	0	3	Ad-	6
=6	=6	=6	=6	=6
8	1	.	-Rock	1
8	0	.	gets	6
8	1	.	nice	5
8	0	.	with	6
8	1	.	Char-	4
8	0	.	-lie	6
8	1	.	Chan.	5
16	0	3	We're	6
8	1	.	o-	3
=7	=7	=7	=7	=7
16	0	.	-ffered	1
8	1	.	Mo-	6
8	1	.	-et	5
16	0	3	we	6
8	1	.	don't	4
8.	1	.	mind	6
16	1	.	Chi-	5
8	0	.	-vas	6
16	0	3	Where-	3
=8	=8	=8	=8	=8
16	1	.	-e-	1
16	0	.	-ver	6
16	0	.	we	5
8	1	.	go	6
16	0	.	we	4
16	1	.	bring	6
16	0	.	the	5
8	1	.	Mon-	6
8	1	.	-key	3
16	1	.	with	6
16	0	.	us.	5
8	1	4	Ad-	6
=9	=9	=9	=9	=9
8	1	.	-Rock	1
8	0	.	drinks	6
8	1	.	three;	5
8	0	3	Mike	6
16	1	.	D	4
8	0	.	is	6
8.	1	.	D;	5
16	1	3	Dou-	6
16	0	.	-ble	3
=10	=10	=10	=10	=10
8	1	.	R	1
16	1	.	foots	6
16	0	.	the	5
8	1	.	bill	6
8	1	1	most	4
16	1	.	de-	6
16	0	.	-fi-	5
16	0	.	-ni-	6
8.	1	.	-tely	3
8	0	4	I	6
=11	=11	=11	=11	=11
8	1	.	drink	1
8	0	.	brass	6
16	1	.	mon-	5
8	0	.	-key	6
16	0	2	and	4
16	1	.	I	6
8	0	.	rock	5
8	1	.	well.	6
16	0	3	I	3
16	1	.	got	6
16	0	.	a	5
=12	=12	=12	=12	=12
16	1	.	ca-	1
16	0	.	-stle	6
8	1	.	in	5
16	1	.	Broo-	6
16	0	.	-klyn	4
8	1	2	that's	6
16	1	.	where	5
8	0	.	I	6
16%5	1	.	dwell.	3
=0	=0	=0	=0	=0
2..	.	.	.	1
16	1	4	Cause	6
16	0	.	I	5
=1	=1	=1	=1	=1
16	1	.	drink	1
16	0	.	it	6
16	1	.	a-	5
16	0	.	-ny-	6
8.	1	.	-time	4
16	0	3	and	6
16	1	.	a-	5
8	0	.	-ny-	6
8.	1	.	-place	3
16	1	3	When	6
16	0	.	it's	5
=2	=2	=2	=2	=2
16	1	.	time	1
16	0	.	to	6
8	1	.	get	5
16	1	.	ill	6
16	0	.	I	4
16	1	.	pour	6
16	0	.	it	5
8	1	.	on	6
16	0	.	my	3
4	1	.	face;	6
8	1	4	Mon-	5
=3	=3	=3	=3	=3
16	1	.	-key	1
8	0	.	tastes	6
8	1	.	Def	5
16	1	.	when	6
16	0	.	you	4
16	1	.	pour	6
16	0	.	it	5
16	0	.	on	6
16%5	1	.	ice.	3
=4	=4	=4	=4	=4
16	1	3	Come	1
8	0	.	on	6
8	1	.	y'all	5
8	1	.	it's	6
8	1	.	time	4
16	0	.	to	6
8	1	.	get	5
4	1	.	nice.	6
=5	=5	=5	=5	=5
16	1	4	Coo-	1
16	0	.	-lin'	6
16	1	.	by	5
16	0	.	the	6
8	1	.	lo-	4
16	0	.	-ckers	6
8	1	1	ge-	5
16	0	.	-ttin'	6
16	1	.	kind	3
16	0	.	of	6
8	1	.	fun-	5
8	1	.	-ky	6
=6	=6	=6	=6	=6
8	1	3	Me	1
16	1	.	and	6
16	0	.	the	5
8	1	.	crew	6
16	0	.	we're	4
8	1	.	drink-	6
16	0	.	-ing	5
8	1	.	brass	6
8	1	.	mon-	3
16	1	.	-key	6
16	0	3	This	5
=7	=7	=7	=7	=7
8	1	.	girl	1
8	0	.	walked	6
8.	1	.	by	5
16	0	3	she	6
16	1	.	gave	4
16	0	.	me	6
16	0	.	the	5
4	1	.	eye;	6
16	0	3	I	3
=8	=8	=8	=8	=8
8	1	.	reached	1
16	1	.	in	6
16	0	.	the	5
8	1	.	lo-	6
16	0	.	-cker	4
8	1	2	grabbed	6
16	0	.	the	5
16	1	.	Spa-	6
16	0	.	-nish	3
8.	1	.	fly;	6
16	0	4	I	5
=9	=9	=9	=9	=9
16	1	.	put	1
16	0	.	it	6
16	1	.	with	5
16	0	.	the	6
16	1	.	Mon-	4
8	0	.	-key	6
8	1	2	mixed	5
16	0	.	it	6
16	1	.	in	3
16	0	.	a	6
8	1	.	cup.	5
16	0	3	Went	6
8	1	.	o-	4
=10	=10	=10	=10	=10
16	0	.	-ver	1
16	1	.	to	6
16	0	.	the	5
8	1	.	girl	6
8	0	2	Yo	4
8	1	.	ba-	6
16	0	.	-by	5
16	1	.	what's	6
8.	1	.	up?;	3
16	0	4	I	6
=11	=11	=11	=11	=11
16	1	.	o-	1
16	0	.	-ffered	6
16	1	.	her	5
16	0	.	a	6
8	1	.	sip	4
8	.	.	.	6
16	1	3	girl	5
16	0	.	she	6
16	1	.	gave	3
16	0	.	me	6
8	1	.	lip;	5
8	.	.	.	6
=12	=12	=12	=12	=12
16	1	3	Did	1
16	0	.	be-	6
16	1	.	-gin	5
16	0	1	the	6
16	1	.	stuff	4
16	0	.	wore	6
16	1	.	in	5
16	0	1	and	6
16	1	.	now	3
16	0	.	she's	6
16	1	.	on	5
16	0	.	my	6
4	1	.	tip.	4
=0	=0	=0	=0	=0
2..	.	.	.	1
8	0	4	Step	6
=1	=1	=1	=1	=1
8	1	.	up	1
16	1	.	to	6
16	0	.	the	5
8.	1	.	bar,	6
8	1	2	put	4
16	0	.	the	6
8	1	.	girl	5
8.	1	.	down;	6
16	0	3	She	3
=2	=2	=2	=2	=2
16	1	.	takes	1
16	0	.	a	6
8	1	.	big	5
8	1	.	gulp	6
8	0	.	and	4
16	1	1	slaps	6
16	0	.	it	5
16	0	.	a-	6
8.	1	.	-round	3
16	1	3	Take	6
16	0	.	a	5
=3	=3	=3	=3	=3
8	1	.	sip;	1
16	1	.	You	6
16	0	.	can	5
16	1	.	do	6
8	0	.	it;	4
16	0	3	You	6
8	1	.	get	5
8	1	.	right	6
32	1	.	to	3
32	0	.	it.	6
16	0	3	We	5
16	1	.	had	6
16	0	.	a	4
=4	=4	=4	=4	=4
8	1	.	case	1
16	1	.	in	6
16	0	.	the	5
8	1	.	place	6
16	1	1	and	4
16	0	.	we	6
8	1	.	went	5
8	1	.	right	6
32	1	.	through	3
32	0	.	it.	6
16	0	3	You	5
16	1	.	got	6
16	0	.	a	4
=5	=5	=5	=5	=5
8	1	.	dry	1
8	0	.	Mar-	6
16	1	.	-ti-	5
8	0	.	-ni	6
16	0	2	you're	4
16	1	.	think-	6
16	0	.	-in'	5
16	0	.	you're	6
8.	1	.	cool;	3
16	1	3	Take	6
16	0	.	your	5
=6	=6	=6	=6	=6
8	1	.	place	1
16	1	.	at	6
16	0	.	the	5
16	1	.	bar	6
16	0	.	I	4
16	1	.	smack	6
16	0	.	you	5
8	1	.	off	6
8	0	.	your	3
8	1	.	stool.	6
8	0	3	I'll	5
=7	=7	=7	=7	=7
16	1	.	down	1
16	0	.	a	6
16	1	.	for-	5
16	0	.	-ty	6
8	1	.	dog	4
16	1	1	in	6
16	0	.	a	5
16	1	.	sing-	6
8	0	.	-le	3
8	1	.	gulp.	6
8	1	3	And	5
8	1	.	if	6
=8	=8	=8	=8	=8
16	0	.	you	1
8	1	.	got	6
16	1	.	beef	5
16	0	1	you'll	6
8	1	.	get	4
8	1	.	beat	6
16	1	.	to	5
16	0	.	a	6
8	1	.	pulp.	3
8	.	.	.	6
=9	=9	=9	=9	=9
16	1	4	Mon-	1
16	0	.	-key	6
8	1	.	and	5
16	1	2	par-	6
16	0	.	-ties	4
8	1	.	and	6
16	1	2	ree-	5
16	0	.	-lin'	6
8	1	.	and	3
16	1	.	ro-	6
16	0	.	-ckin'	5
8	.	.	.	6
=10	=10	=10	=10	=10
8	1	3	Def	1
8	0	.	def	6
8	1	1	girls	5
16	0	.	girls	6
8.	1	2	all	4
8	1	.	y'all	6
16	1	.	jo-	5
8	0	.	-ckin'	6
16	0	4	The	3
=11	=11	=11	=11	=11
8	1	.	song	1
8	0	.	and	6
8	1	.	dance	5
16	1	2	kee-	6
16	0	.	-ping	4
16	1	.	you	6
16	0	.	in	5
16	0	.	a	6
8.	1	.	trance.	3
16	1	3	If	6
16	0	.	you	5
=12	=12	=12	=12	=12
8	1	.	don't	1
16	1	.	buy	6
16	0	.	my	5
