=0	=0	=0	=0	=0
16%13	.	.	.	1
16	0	5	His	6
8	1	.	palms	5
=1	=1	=1	=1	=1
16	0	.	are	1
16	1	.	swea-	6
8	0	.	-ty.	5
8	1	3	Knees	6
8	1	.	weak.	4
8	1	2	Arms	6
16	0	.	are	5
16	1	.	hea-	6
16	0	.	-vy.	3
16	0	3	There's	6
16	1	.	vo-	5
16	0	.	-mit	6
=2	=2	=2	=2	=2
16	1	.	on	1
16	0	.	his	6
16	1	.	swea-	5
16	0	.	-ter	6
16	0	.	al-	4
16	1	.	-rea-	6
16	0	.	-dy.	5
16	.	.	.	6
8	1	3	Mom's	3
16	0	.	spa-	6
16	1	.	-ghe-	5
16	0	.	-tti.	6
16	0	4	He's	4
16	1	.	ner-	6
16	0	.	-vous,	5
=3	=3	=3	=3	=3
16	.	.	.	1
16	0	3	but	6
16	1	.	on	5
16	0	.	the	6
16	1	.	sur-	4
16	0	.	-face	6
16	1	.	he	5
16	0	.	looks	6
8	1	.	calm	3
16	0	.	and	6
16	1	.	rea-	5
16	0	.	-dy	6
16	0	1	to	4
8	1	.	drop	6
=4	=4	=4	=4	=4
8	1	.	bombs.	1
8	.	.	.	6
16	1	3	But	5
16	0	.	he	6
8	1	.	keeps	4
8	1	.	on	6
16	0	.	for-	5
16	1	.	-ge-	6
16	0	.	-tting	3
16	0	4	what	6
16	0	.	he	5
8	1	.	wrote	6
=5	=5	=5	=5	=5
8	1	.	down.	1
16	0	3	The	6
8	1	.	whole	5
8	1	.	crowd	6
8	1	1	goes	4
16	0	.	so	6
8	1	.	loud.	5
16	0	3	He	6
8	1	.	o-	3
=6	=6	=6	=6	=6
16	1	.	-pens	1
16	0	.	his	6
8	1	.	mouth,	5
16	1	.	but	6
16	0	.	the	4
8	1	.	words	6
8	1	.	won't	5
16	0	.	come	6
16	1	.	out.	3
16	.	.	.	6
16	0	3	He's	5
8	1	.	cho-	6
=7	=7	=7	=7	=7
16	0	.	-kin'	1
8	1	.	how?.	6
16	.	.	.	5
16	1	3	E-	6
16	0	.	-very-	4
16	1	.	-bo-	6
16	0	.	-dy's	5
8	1	.	jo-	6
16	0	.	-kin'	3
8	1	.	now.	6
16	0	3	The	5
8	1	.	clock's	6
=8	=8	=8	=8	=8
16	0	.	run	1
8	1	.	out.	6
16	.	.	.	5
8	1	3	Time's	6
8	1	.	up.	4
8	1	3	O-	6
16	0	.	-ver.	5
8.	1	.	Blaow!	6
8	1	4	Snap	3
=9	=9	=9	=9	=9
8	1	.	back	1
16	1	.	to	6
16	0	.	re-	5
16	1	.	-a-	6
16	0	.	-li-	4
16	0	.	-ty.	6
16	1	3	Op!	5
16	.	.	.	6
16	0	.	There	3
8	1	.	goes	6
16	1	.	gra-	5
16	0	.	-vi-	6
16	0	.	-ty.	4
16	1	3	Op	6
=10	=10	=10	=10	=10
16	.	.	.	1
16	0	.	There	6
8	1	.	goes	5
16	1	.	Ra-	6
16	0	.	-bbit.	4
16	0	3	He	6
16	1	.	choked.	5
16	.	.	.	6
16	0	.	He's	3
8	1	.	so	6
16	1	.	mad,	5
16	0	3	but	6
16	0	.	he	4
16	1	.	won't	6
=11	=11	=11	=11	=11
16	.	.	.	1
16	0	.	give	6
8	1	.	up	5
16	1	.	that	6
16	0	.	ea-	4
16	0	.	-sy.	6
16	1	3	Nope	5
16	.	.	.	6
16	0	.	he	3
8	1	.	won't	6
16	1	.	have	5
16	0	.	it.	6
16	0	3	He	4
16	1	.	knows	6
=12	=12	=12	=12	=12
16	.	.	.	1
16	0	.	his	6
8	1	.	whole	5
16	1	.	back's	6
16	0	.	to	4
16	0	.	these	6
16	1	.	ropes.	5
16	.	.	.	6
16	0	.	It	3
8	1	.	don't	6
16	1	.	ma-	5
16	0	.	-tter,	6
16	0	3	he's	4
16	1	.	dope,	6
=13	=13	=13	=13	=13
16	.	.	.	1
16	0	2	he	6
8	1	.	knows	5
16	1	.	that,	6
16	0	.	But	4
16	0	.	he's	6
16	1	.	broke.	5
16	.	.	.	6
16	0	3	He's	3
8	1	.	so	6
16	1	.	stag-	5
16	0	.	-nant.	6
16	0	3	He	4
8	1	.	knows	6
=14	=14	=14	=14	=14
32	0	.	when	1
32	0	.	he	6
8	1	.	goes	5
16	1	.	back	6
16	0	.	to	4
16	0	.	this	6
8	1	1	mo-	5
16	0	.	-bile	6
8	1	.	home	3
8	1	.	that's	6
16	1	.	when	5
16	0	.	it's	6
=15	=15	=15	=15	=15
8	1	3	back	1
16	1	2	to	6
16	0	.	the	5
16	1	.	lab	6
16	0	.	a-	4
16	0	.	-gain	6
16	1	.	yo.	5
16	.	.	.	6
16	0	3	This	3
8	1	.	whole	6
16	1	.	rhap-	5
16	0	.	-so-	6
16	0	.	-dy.	4
16	1	3	Be-	6
=16	=16	=16	=16	=16
16	0	.	-tter	1
16	0	.	go	6
16	1	.	cap-	5
16	0	.	-ture	6
16	0	.	this	4
16	1	.	mo-	6
16	0	.	-ment	5
16	0	1	and	6
16	1	.	hope	3
16	0	.	it	6
8	1	.	don't	5
8	1	.	pass	6
8	0	.	him.	4
=0	=0	=0	=0	=0
2..	.	.	.	1
16	0	5	The	6
8	1	.	soul's	5
=1	=1	=1	=1	=1
16	0	.	es-	1
8	1	.	-cap-	6
16	0	.	-ing	5
16	.	.	.	6
16	1	3	through	4
16	0	.	this	6
8	1	.	hole	5
16	1	.	that	6
16	0	.	is	3
8	1	.	ga-	6
8	0	.	-ping	5
=2	=2	=2	=2	=2
16	.	.	.	1
16	0	3	This	6
16	1	.	world	5
16	0	.	is	6
8	1	.	mine	4
16	1	.	for	6
16	0	.	the	5
8	1	.	ta-	6
16	0	.	-king	3
16	.	.	.	6
16	1	4	Make	5
8	1	.	me	6
8	1	.	king;	4
=3	=3	=3	=3	=3
16	.	.	.	1
16	0	4	As	6
16	0	.	we	5
8	1	.	move	6
8	1	.	t'ward	4
16	0	.	a	6
16	1	3	new	5
16	1	.	wor-	6
16	0	.	-ld	3
8	1	.	or-	6
16	0	.	-der	5
32	.	.	.	6
32	0	3	A	4
=4	=4	=4	=4	=4
8	1	.	nor-	1
16	0	.	-mal	6
8	1	.	life	5
16	0	.	is	6
16	1	.	bor-	4
16	0	.	-ing	6
16	.	.	.	5
16	0	3	but	6
16	1	.	su-	3
