=0	=0	=0	=0	=0
8%5	.	.	.	1
8	1	4	I	6
16	1	.	am	5
8	0	.	a	6
8	1	.	night-	4
=1	=1	=1	=1	=1
16	.	.	.	1
8	1	.	-mare	6
16	1	.	wal-	5
8	0	.	-kin'.	6
16	.	.	.	4
16	1	3	Psy-	6
16	0	.	-cho-	5
8	1	.	-path	6
8	1	.	tal-	3
8	0	.	-kin'.	6
=2	=2	=2	=2	=2
16	.	.	.	1
16	1	3	King	6
16	0	.	of	5
16	0	.	my	6
16	1	.	jun-	4
16	0	.	-gle	6
16	1	1	just	5
16	0	.	a	6
8	1	.	gang-	3
8	0	.	-ster	6
16	1	.	stal-	5
16	0	.	-kin'.	6
16	1	3	Li-	4
16	0	.	-vin'	6
=3	=3	=3	=3	=3
8	1	.	life	1
16	1	.	like	6
16	0	.	a	5
16	1	.	fi-	6
16	0	.	-re-	4
16	1	.	-cra-	6
16	0	.	-cker.	5
16	1	3	;Quick	6
16	0	.	is	3
16	0	.	my	6
8.	1	.	fuse.	5
16	.	.	.	6
16	0	3	Then	4
=4	=4	=4	=4	=4
16	1	.	dead	1
16	0	.	as	6
16	0	.	a	5
8	1	.	death	6
8	1	.	pack	4
16	0	1	the	6
16	1	.	co-	5
16	0	.	-lors	6
16	0	.	I	3
8.	1	.	choose.	6
16	1	3	Red	5
16	0	.	or	6
=5	=5	=5	=5	=5
8	1	.	Blue	1
16	1	1	Cuz	6
16	0	.	or	5
8	1	.	Blood	6
16	.	.	.	4
16	0	3	it	6
8	1	.	just	5
8	1	.	don't	6
16	1	.	ma-	3
16	0	.	-tter.	6
16	1	3	Su-	5
16	0	.	-cker	6
=6	=6	=6	=6	=6
8	1	.	die	1
16	1	.	for	6
16	0	.	your	5
8	1	.	life	6
16	1	1	when	4
16	0	.	my	6
8	1	.	shot-	5
8	0	.	-gun	6
16	1	.	sca-	3
8.	0	.	-tters.	6
=7	=7	=7	=7	=7
16	.	.	.	1
16	0	3	We	6
16	1	.	gangs	5
16	0	.	of	6
16	1	.	L	4
8	0	.	A	6
16	0	1	will	5
16	1	.	ne-	6
16	0	.	-ver	3
4	1	.	die.	6
8	.	.	.	5
=8	=8	=8	=8	=8
4.	.	.	.	1
8	1	3	Just	6
16	1	.	mul-	5
16	0	.	-ti-	6
8	1	.	-ply.	4
4	.	.	.	6
=0	=0	=0	=0	=0
2.	.	.	.	1
16	.	.	.	6
16	0	4	You	5
8	1	.	don't	6
=1	=1	=1	=1	=1
8	1	.	know	1
8	1	.	me	6
8.	.	.	.	5
8.	1	1	fool;	6
8.	.	.	.	4
16	0	3	You	6
8	1	.	dis-	5
=2	=2	=2	=2	=2
8	1	.	-own	1
8	1	.	me	6
8.	.	.	.	5
8.	1	1	cool.	6
8.	.	.	.	4
16	0	3	I	6
8	1	.	don't	5
=3	=3	=3	=3	=3
8	1	.	need	1
16	1	.	your	6
16	0	.	a-	5
16	1	.	-ssis-	6
8	0	.	-tance	4
8	1	3	So-	6
8	1	.	-cial	5
16	0	.	per-	6
16	1	.	-si-	3
16	0	.	-stence	6
16	1	3	An-	5
16	0	.	-y	6
=4	=4	=4	=4	=4
16	1	.	pro-	1
16	0	.	-blem	6
16	0	.	I	5
8	1	.	got	6
8	1	1	I	4
8	1	.	just	6
8	1	.	put	5
16	0	.	my	6
8	1	.	fist	3
8	1	.	in.	6
=5	=5	=5	=5	=5
16	.	.	.	1
16	0	3	My	6
16	1	.	life	5
16	0	.	is	6
16	1	.	vio-	4
8	0	.	-lent	6
16	0	2	but	5
16	1	.	vio-	6
16	0	.	-lent	3
16	0	.	is	6
8	1	.	life;	5
8	.	.	.	6
8	1	3	Peace	4
=6	=6	=6	=6	=6
8	1	.	is	1
16	0	.	a	6
16	1	.	dream;	5
16	0	2	re-	6
