=0	=0	=0	=0	=0
2	.	.	.	1
8	.	.	.	6
16	1	4	Ba-	5
8	1	.	-by	6
16	0	.	this	4
16	1	.	ain't	6
16	0	.	your	5
=1	=1	=1	=1	=1
16	1	.	ty-	1
16	0	.	-pi-	6
8	1	.	-cal	5
16	1	.	e-	6
16	0	.	-very-	4
8	1	.	-day	6
8	1	.	one	5
8	1	.	night	6
8	1	.	thing	3
16	1	3	It's	6
16	0	.	a	5
=2	=2	=2	=2	=2
16	1	.	phy-	1
16	0	.	-si-	6
8	1	.	-cal	5
16	1	.	I'-	6
16	0	.	-ma	4
8	1	.	fuck	6
16	1	.	you	5
16	0	.	to-	6
8	1	.	-night	3
8	1	.	thing	6
16	1	3	Fuck	5
16	.	.	.	6
=3	=3	=3	=3	=3
16	.	.	.	1
16	1	.	know-	6
16	0	.	-in'	5
16	0	.	your	6
8	1	.	name	4
16	1	.	Jump	6
16	0	.	yo'	5
8	1	.	ass	6
16	1	.	in	3
16	0	.	the	6
8	1	.	Range	5
16	0	.	And	6
8	1	.	roll	4
=4	=4	=4	=4	=4
8	1	.	o-	1
16	0	.	-ver	6
16	1	3	Ge-	5
16	0	.	-ttin'	6
8	1	.	blown	4
16	0	.	while	6
16	1	.	blow-	5
16	0	.	-in'	6
16	0	.	the	3
8	1	.	dol-	6
16	0	.	-ja	5
16	0	3	Bring	6
=5	=5	=5	=5	=5
8	1	.	head	1
16	1	.	to	6
16	0	.	a	5
8	1	.	clo-	6
16	0	.	-sure	4
16	.	.	.	6
16	1	3	That's	5
16	0	.	a	6
8.	1	.	good	3
8	1	.	bitch	6
16	0	3	Be-	5
=6	=6	=6	=6	=6
16	1	.	-fore	1
16	0	.	it's	6
8	1	.	all	5
16	1	.	o-	6
16	0	.	-ver	4
16	1	.	I'-	6
16	0	.	-ma	5
8	1	.	meat	6
8	1	.	this	3
8	1	.	bitch	6
16	1	3	Pro-	5
16	0	.	-bably	6
=7	=7	=7	=7	=7
8	1	.	treat	1
8	1	.	this	6
8	1	.	bitch	5
8	1	.	mo'	6
16	1	.	be-	4
16	0	.	-tta	6
16	.	.	.	5
16	0	3	'cause	6
16	1	.	if	3
16	0	.	you	6
8	1	.	ain't	5
=8	=8	=8	=8	=8
16	.	.	.	1
8	1	.	know	6
16	.	.	.	5
8	1	.	gang-	6
16	1	.	-stas	4
16	0	.	and	6
8	1	.	hoes	5
16	1	.	go	6
16	0	.	to-	3
16	1	.	-ge-	6
16	0	.	-ther	5
16	.	.	.	6
16	1	3	Po-	4
=9	=9	=9	=9	=9
16	0	.	-ppin'	1
16	0	.	my	6
8	1	.	co-	5
16	0	.	-llar	6
8	1	.	part-	4
16	0	.	-ner	6
8	1	.	who	5
16	1	.	in	6
16	0	.	the	3
8	1	.	spot?	6
16	1	3	Ba-	5
16	0	.	-by	6
=10	=10	=10	=10	=10
8	1	.	Rule	1
16	1	.	in	6
16	0	.	the	5
16	1	.	spot	6
16	.	.	.	4
16	1	3	and	6
16	0	.	the	5
8	1	.	mug	6
16	1	.	and	3
16	0	.	the	6
8	1	.	watch	5
16	1	.	ug-	6
8	0	.	-ly	4
=11	=11	=11	=11	=11
16	.	.	.	1
16	1	3	Half	6
16	0	.	the	5
8	1	.	hoes	6
16	1	.	hate	4
16	0	.	me	6
16	.	.	.	5
8	1	3	half	6
16	0	.	them	3
16	1	.	love	6
16	0	.	me	5
16	.	.	.	6
16	0	3	The	4
=12	=12	=12	=12	=12
8	1	.	ones	1
16	0	.	that	6
16	1	.	hate	5
16	0	.	me	6
16	1	.	on-	4
16	0	.	-ly	6
16	1	.	hate	5
16	0	.	me	6
16	0	.	'cause	3
16	1	.	they	6
16	0	.	ain't	5
16	1	.	fucked	6
16	0	.	me	4
16	.	.	.	6
16	0	3	And	5
=13	=13	=13	=13	=13
8	1	.	they	1
16	1	.	say	6
16	0	.	I'm	5
16	1	.	lu-	6
8	0	.	-cky	4
16	0	3	you	6
16	1	.	think	5
16	0	.	I	6
8	1	.	got	3
8	1	.	time	6
16	1	.	to	5
16	0	.	fuck	6
=14	=14	=14	=14	=14
8	1	.	all	1
8	1	.	these	6
8	1	.	hoes	5
16	1	.	and	6
16	0	.	do	4
8	1	.	all	6
8	1	.	these	5
8	1	.	shows?	6
16	.	.	.	3
16	0	3	Or	6
=15	=15	=15	=15	=15
8	1	.	flight	1
16	1	.	in	6
16	0	.	the	5
8	1	.	lla-	6
16	0	.	-ma	4
8	1	.	char-	6
16	0	.	-gin'	5
8	1	.	white	6
8	1	.	Rolls	3
16	1	3	Uhh	6
8	1	.	oh	5
=16	=16	=16	=16	=16
16	0	.	a-	1
16	1	.	-no-	6
16	0	.	-ther	5
16	1	.	e-	6
16	0	.	-pi-	4
8	1	.	-sode	6
2	.	.	.	5
=0	=0	=0	=0	=0
2..	.	.	.	1
8	1	4	Bitch-	6
=1	=1	=1	=1	=1
8	0	.	-es	1
16	1	.	just	6
16	.	.	.	5
16	1	.	wa-	6
16	0	.	-nna	4
16	1	.	hold	6
16	0	.	a	5
8	1	.	name	6
8	1	.	that's	3
8	1	.	ac-	6
16	0	.	-tive	5
16	0	3	That's	6
=2	=2	=2	=2	=2
12	1	.	why	1
12	0	.	they	6
12	0	.	suck	5
16	1	.	dick	6
16	0	.	with	4
8	1	.	mo'	6
8	1	.	pa-	5
16	0	.	-ssion	6
16	0	.	than	3
8	1	.	a-	6
16	0	.	-ver-	5
16	0	3	-age	6
=3	=3	=3	=3	=3
16	1	.	I	1
16	0	.	ain't	6
8	1	.	mad	5
8	1	.	at	6
16	0	.	ya	4
16	1	3	ne-	6
16	0	.	-ver	5
16	1	.	leave	6
16	0	.	you	3
16	0	.	a-	6
8	1	.	-lone	5
16	0	3	'cause	6
16	0	.	we	4
=4	=4	=4	=4	=4
8	1	.	fucks	1
16	1	.	when	6
16	0	.	I'm	5
8	1	.	home	6
8	1	.	phone	4
8	1	.	sex	6
16	1	.	when	5
16	0	.	I'm	6
8	1	.	gone	3
16	.	.	.	6
16	0	3	We	5
=5	=5	=5	=5	=5
8	1	.	both	1
8	1	.	grown	6
16	.	.	.	5
8	1	3	both	6
16	0	.	got	4
8	1	.	minds	6
16	1	.	of	5
16	0	.	our	6
8	1	.	own	3
16	1	3	Plus	6
16	0	.	I	5
=6	=6	=6	=6	=6
8	1	.	freaks	1
8	1	.	off	6
16	0	.	like	5
8	1	.	O	6
8	1	.	Dog	4
16	0	.	in	6
8	1	.	Love	5
8	1	.	Jones	6
16	1	3	Been	3
16	.	.	.	6
=7	=7	=7	=7	=7
16	.	.	.	1
16	1	.	ma-	6
16	0	.	-ny	5
8.	1	.	zones	6
16	1	3	ba-	4
16	0	.	-by	6
16	1	.	one	5
8.	0	.	hoes	6
16	1	.	two	3
8	0	.	hoes	6
16	1	3	From	5
=8	=8	=8	=8	=8
16	.	.	.	1
8	1	.	pri-	6
16	0	.	-ssy	5
16	1	.	bi-	6
16	0	.	-tches	4
16	0	.	to	6
8	1	.	hoes	5
16	0	.	that	6
8	1	.	do	3
16	1	.	por-	6
8	0	.	-no	5
16	0	3	But	6
=9	=9	=9	=9	=9
16	1	.	you	1
16	0	.	know	6
16	.	.	.	5
16	0	.	the	6
8	1	.	Rule	4
8	1	.	be	6
16	1	.	li-	5
16	0	.	-vin'	6
16	0	.	it	3
8	1	.	up	6
16	0	3	And	5
8	1	.	got	6
=10	=10	=10	=10	=10
8	1	.	all	1
8	1	.	these	6
8	1	.	hoes	5
8	.	.	.	6
16	1	.	gi-	4
16	0	.	-vin'	6
16	0	.	it	5
8	1	.	up	6
16	0	3	I	3
16	1	.	like	6
16	0	.	a	5
=11	=11	=11	=11	=11
16	.	.	.	1
16	1	.	li-	6
16	0	.	-ttle	5
8	1	.	ooh	6
16	1	.	ba-	4
16	0	.	-by	6
16	0	.	how	5
8	1	.	cute	6
16	0	.	are	3
8	1	.	you?	6
16	.	.	.	5
16	1	3	With	6
16	0	.	a	4
=12	=12	=12	=12	=12
16	1	.	bo-	1
16	0	.	-dy	6
8	1	.	that	5
8	1	.	rides	6
8	0	.	on	4
8	1	.	se-	6
16	0	.	-xu-	5
8	1	.	-al	6
16	0	3	I	3
16	1	.	got	6
16	0	.	a	5
=13	=13	=13	=13	=13
8	1	.	stick	1
8	1	.	I'll	6
8	1	.	ride	5
8	0	.	right	6
8	1	.	next	4
16	0	.	to	6
8	1	.	you	5
16	.	.	.	6
16	1	3	Do	3
16	0	.	a	6
=14	=14	=14	=14	=14
16	0	.	dough-	1
8	1	.	-nut	6
16	0	.	and	5
8	1	.	cut	6
16	1	.	then	4
16	0	.	I'll	6
16	1	.	o-	5
16	0	.	-pen	6
16	0	.	it	3
8	1	.	up	6
16	.	.	.	5
16	1	3	On	6
16	0	.	the	4
=15	=15	=15	=15	=15
16	1	.	free-	1
8	0	.	-way	6
16	1	.	dick	5
16	0	.	in	6
16	0	.	her	4
8	1	.	mouth	6
16	.	.	.	5
16	1	.	foot	6
16	0	.	on	3
16	0	.	the	6
8	1	.	clutch	5
8	1	3	Rule	6
=16	=16	=16	=16	=16
8	1	.	bitch	1
8	1	.	not	6
16	1	.	gi-	5
16	0	.	-vin'	6
16	0	.	a	4
8.	1	.	fuck	6
4.	.	.	.	5
=0	=0	=0	=0	=0
2	.	.	.	1
8.	.	.	.	6
8	1	4	Love	5
16	.	.	you	6
8	1	.	so	4
=1	=1	=1	=1	=1
8	1	.	sex-	1
16	1	.	-y	6
16	.	.	.	5
16	1	3	I	6
16	0	.	just	4
8	1	.	want	6
16	0	.	you	5
8	1	.	next	6
16	0	.	to	3
16	1	.	me	6
16	0	3	Your	5
8	1	.	whole	6
=2	=2	=2	=2	=2
8	1	.	vibe	1
16	1	.	like	6
16	0	.	you	5
8	1	.	high	6
16	0	.	on	4
16	.	.	.	6
8	1	.	ex-	5
16	0	.	-sta-	6
8	1	.	-cy	3
16	0	3	'cause	6
8	1	.	ain't	5
=3	=3	=3	=3	=3
16	1	.	nu-	1
16	0	.	-ttin'	6
16	1	.	but	5
16	0	.	a	6
8	1	.	E	4
8	0	.	thang	6
8.	1	.	ba-	5
16	1	.	-by	6
16	.	.	.	3
16	0	3	I	6
16	1	.	know	5
16	0	.	that	6
=4	=4	=4	=4	=4
8	1	.	pu-	1
8	0	.	-ssy	6
8	1	.	wet	5
8	0	.	like	6
8.	1	.	cra-	4
16	1	.	-zy	6
16	.	.	.	5
16	0	3	I	6
16	1	.	wa-	3
16	0	.	-nna	6
=5	=5	=5	=5	=5
16	.	.	.	1
8	1	.	feel	6
16	0	.	your	5
8	1	.	pa-	6
16	0	.	-ssion	4
16	.	.	.	6
8	1	3	come	5
16	1	.	when	6
16	0	.	you	3
8	1	.	ask-	6
16	0	.	-in'	5
16	.	.	.	6
=6	=6	=6	=6	=6
8	1	3	Laugh	1
16	1	.	when	6
16	0	.	you	5
8	1	.	cry-	6
16	0	.	-in'	4
16	.	.	.	6
8	1	3	cry	5
16	1	.	when	6
16	0	.	you	3
8	1	.	laugh-	6
16	0	.	-in'	5
16	0	3	But	6
=7	=7	=7	=7	=7
8	1	.	ain't	1
16	1	.	nu-	6
16	0	.	-ttin'	5
8	1	.	ha-	6
16	0	.	-ppen	4
16	0	3	the	6
8	1	.	bitch	5
16	1	.	got	6
16	0	.	a	3
16	1	.	li-	6
16	0	.	-ttle	5
8	1	.	too	6
=8	=8	=8	=8	=8
8	1	.	high	1
16	0	3	licked	6
8	1	.	up	5
16	0	.	my	6
8	1	.	thigh	4
16	0	.	then	6
8	1	.	star-	5
16	0	.	-ted	6
8	1	.	crash-	3
16	0	.	-in'	6
16	0	3	The	5
=9	=9	=9	=9	=9
16	1	.	ra-	1
16	0	.	-di-	6
8	1	.	-o	5
8	1	.	blas-	6
16	0	.	-tin'	4
16	0	3	Be-	6
8	1	.	-tween	5
16	1	.	Me	6
16	0	.	and	3
8	1	.	You	6
16	1	3	But	5
16	.	.	.	6
=10	=10	=10	=10	=10
16	1	.	you	1
16	0	.	ain't	6
16	1	.	on	5
16	0	.	the	6
8	1	.	low	4
16	1	.	with	6
16	0	.	that	5
8	1	.	freak	6
16	1	.	shit	3
16	0	.	you	6
8	1	.	do	5
16	1	3	Girl	6
16	0	.	I	4
=11	=11	=11	=11	=11
8	1	.	thought	1
8	1	.	you	6
8	1	.	knew	5
8	0	.	what	6
4.	1	.	I	4
8	1	.	do	6
=12	=12	=12	=12	=12
8	1	3	know	1
8	0	.	I	6
8	1	.	know	5
8	0	.	what	6
4	1	.	you	4
16	1	.	do	6
8	1	4	'cause	5
16	0	.	it's	6
=13	=13	=13	=13	=13
16	1	.	ain't	1
16	0	.	a	6
8	1	.	good	5
8	1	.	night	6
16	1	.	if	4
16	0	.	the	6
8	1	.	head	5
8	0	.	ain't	6
8	1	.	right	3
8	1	3	Like	6
=14	=14	=14	=14	=14
16	.	.	.	1
8	1	.	Te-	6
16	0	.	-ddy	5
8	1	.	P	6
8	1	.	let's	4
16	1	.	Turn	6
8	0	.	Off	5
16	0	.	the	6
8	1	.	Lights	3
8	0	3	And	6
=15	=15	=15	=15	=15
16	.	.	.	1
8	1	.	grind	6
16	0	.	it	5
8	1	.	out	6
16	1	.	ta-	4
16	0	.	-kin'	6
8	1	.	no	5
8	1	.	times	6
8	1	.	out	3
16	1	3	'til	6
16	0	.	the	5
=16	=16	=16	=16	=16
8	1	.	sun	1
8	1	.	come	6
8	1	.	out	5
16	.	.	.	6
8	1	3	bitch	4
16	.	.	.	6
16	1	.	le-	5
16	0	.	-mme	6
8	1	.	find	3
8	1	.	out	6
!!!OTL:Livin' It Up
!!!RTL:Pain is Love
!!!RRD:2001/07/03
!!!RRM:Murder Inc., Def Jam
!!!RC#:588741
!!!BPP:6
!!!BPD:2001/12/08
!!!COC:Ja Rule
!!!COL:Ja Rule
!!!COM:Jeffrey Atkins
!!!CDT:1976/02/29->2016/01/
!!!ENC:Nathaniel Condit-Schultz
!!!EED:Nathaniel Condit-Schultz
!!!RDT:2014/-2016/
!!!EST:In progress
=0	=0	=0	=0	=0
2	.	.	.	1
8	.	.	.	6
16	1	4	Can	5
16	0	.	I	6
16	1	.	hit	4
16	0	.	it	6
16	1	.	in	5
16	0	.	the	6
=1	=1	=1	=1	=1
8	1	.	morn-	1
8	1	.	-in'	6
16	1	3	wi-	5
16	0	.	-thout	6
16	1	.	gi-	4
16	0	.	-vin'	6
16	0	.	you	5
16	1	.	half	6
16	0	.	of	3
16	0	.	my	6
16	1	.	dough	5
16	0	3	And	6
16	1	.	e-	4
16	0	.	-ven	6
=2	=2	=2	=2	=2
16	1	.	worse	1
16	0	.	if	6
16	1	.	I	5
16	0	.	was	6
8	1	.	broke	4
16	1	1	would	6
16	0	.	you	5
8	1	.	want	6
8	1	.	me?	3
16	1	3	If	6
16	0	.	I	5
16	1	.	coul-	6
16	0	.	-dn't	4
=3	=3	=3	=3	=3
16	1	.	get	1
16	0	.	you	6
16	1	.	fin-	5
16	0	.	-er	6
8	1	.	things	4
16	0	3	Like	6
16	1	.	all	5
16	0	.	of	6
16	0	.	them	3
16	1	.	dia-	6
16	0	.	-mond	5
8	1	.	rings	6
16	1	2	bi-	4
16	0	.	-tches	6
=4	=4	=4	=4	=4
8	1	.	kill	1
8	1	.	for	6
8	.	.	.	5
16	1	3	Would	6
16	0	.	you	4
8	1	.	still	6
8	1	.	roll?	5
16	1	4	If	6
16	0	.	we	3
16	1	.	coul-	6
16	0	.	-dn't	5
=5	=5	=5	=5	=5
16	1	.	see	1
16	0	.	the	6
8	1	.	sun	5
16	1	.	ri-	6
16	0	.	-sin'	4
16	1	1	off	6
16	0	.	the	5
16	1	.	shore	6
16	0	.	of	3
8	1	.	Thai-	6
8	1	.	-land	5
16	1	3	would	6
16	0	.	you	4
=6	=6	=6	=6	=6
8	1	.	ride	1
8	1	.	then?	6
16	1	3	If	5
16	0	.	I	6
16	1	.	was-	4
16	0	.	-n't	6
8	1	.	dri-	5
8	1	.	-vin'	6
16	1	3	If	3
16	0	.	I	6
16	1	.	was-	5
16	0	.	-n't	6
=7	=7	=7	=7	=7
8	1	.	a	1
8	1	2	eight	6
16	1	.	fi-	5
16	0	.	-gure	6
16	1	.	ni-	4
16	0	.	-gga	6
16	1	2	by	5
16	0	.	the	6
16	1	.	name	3
16	0	.	of	6
16	1	.	Ji-	5
16	0	.	-gga	6
16	1	3	would	4
16	0	.	you	6
=8	=8	=8	=8	=8
16	1	.	come	1
16	0	.	a-	6
8	1	.	-round	5
16	1	.	me	6
16	0	1	Or	4
16	1	.	would	6
16	0	.	you	5
8	1	.	clown	6
8	1	.	me?	3
16	1	4	If	6
16	0	.	I	5
16	1	.	coul-	6
16	0	.	-dn't	4
=9	=9	=9	=9	=9
8	1	.	flow	1
16	1	.	fu-	6
16	0	.	-tu-	5
16	1	.	-ri-	6
16	0	.	-stic	4
16	1	2	would	6
8.	1	.	ya	5
16	1	.	put	6
16	0	.	your	3
8	1	.	two	6
8	1	.	lips	5
=10	=10	=10	=10	=10
16	1	3	on	1
16	0	.	my	6
16	1	.	wood	5
16	0	.	and	6
16	1	.	kiss	4
16	0	.	it?	6
16	1	2	Could	5
8.	1	.	ya	6
16	1	.	see	3
16	0	.	your-	6
8	1	.	-self	5
16	1	3	with	6
16	0	.	a	4
=11	=11	=11	=11	=11
16	1	.	ni-	1
16	0	.	-gga	6
16	1	.	wor-	5
16	0	.	-kin'	6
16	1	.	har-	4
16	0	.	-der	6
16	0	.	than	5
8	1	.	nien	6
16	0	.	to	3
8	1	.	five	6
16	.	.	.	5
16	0	3	con	6
16	1	.	ten	4
16	0	.	to	6
=12	=12	=12	=12	=12
8	1	.	six	1
8	0	.	two	6
8	1	.	jobs	5
16	1	.	to	6
16	0	.	sur-	4
8	1	.	-vive	6
8	1	4	or	5
16	1	.	do	6
