=1	=1	=1	=1	=1
8	1	4	sweat	1
8	.	.	.	6
16	1	.	ru-	5
16	0	.	-nnin'	6
8	1	.	all	4
16	1	.	o-	6
16	0	.	-ver	5
8	1	.	my	6
8.	1	.	chest	3
16	.	.	.	6
=2	=2	=2	=2	=2
16	.	.	.	1
16	0	3	I	6
8	1	.	don't	5
8	1	.	quit	6
8	1	.	no	4
16	.	.	.	6
16	0	3	I	5
8	1	.	just	6
8	1	.	press	3
8	.	.	.	6
=3	=3	=3	=3	=3
8	1	3	har-	1
8	0	.	-der	6
8	.	.	.	5
16	1	3	than	6
16	0	.	I	4
16	1	.	e-	6
16	0	.	-ver	5
16	1	.	did	6
16	0	.	be-	3
8.	1	.	-fore	6
16	.	.	.	5
=4	=4	=4	=4	=4
16	1	3	go-	1
16	0	.	-in'	6
16	1	.	for	5
16	0	.	the	6
8	1	.	dreams	4
16	1	.	that	6
16	0	.	I	5
8	1	.	have	6
8	1	.	in	3
16	1	.	store	6
16	0	3	in	5
8	1	.	my	6
=5	=5	=5	=5	=5
8	1	.	mind	1
4	.	.	.	6
16	1	3	and	5
16	0	.	I	6
16	1	.	know	4
16	0	.	that	6
8	1	.	I'm	5
16	1	.	ma-	6
16	0	.	-kin'	3
16.	1	.	it	6
32	0	3	I	5
=6	=6	=6	=6	=6
16	1	.	go-	1
16	0	.	-tta	6
8	1	.	get	5
16	1	.	mine	6
16	0	.	and	4
8	1	.	no-	6
8	1	.	-bo-	5
8	0	.	-dy's	6
16	1	.	ta-	3
16	0	.	-kin'	6
16	1	.	it	5
16	0	.	a-	6
=7	=7	=7	=7	=7
8	1	.	-way	1
8	.	.	.	6
8.	.	.	.	5
16	0	3	'cause	6
16	1	.	ha-	4
16	0	.	-mmer	6
8	1	.	don't	5
8	1	.	play	6
16	1	.	that	3
16	0	3	you	6
=8	=8	=8	=8	=8
16	1	.	try	1
16	0	.	to	6
8	1	.	get	5
8	1	.	mine	6
8	1	.	boy	4
16	.	.	.	6
16	0	.	you	5
16	1	.	be-	6
16	0	.	-tter	3
8	1	.	step	6
8	1	.	back	5
=9	=9	=9	=9	=9
4	1	3	freeze	1
8.	.	.	.	6
16	0	3	'cause	5
16	1	.	you	6
8	0	.	don't	4
8	1	.	want	6
16	1	.	none	5
16	.	.	.	6
16	0	3	I	3
=10	=10	=10	=10	=10
16	1	.	hu-	1
16	0	.	-stle	6
16	1	.	for	5
16	0	.	my	6
16	1	.	mu-	4
16	0	.	-scle	6
16	.	.	.	5
16	0	.	and	6
16	1	.	you	3
8	0	.	look	6
8	1	.	weak	5
16	1	.	son	6
8	.	.	.	4
=11	=11	=11	=11	=11
8	1	3	yea	1
16	.	.	.	6
16	0	.	I'm	5
16	1	.	go-	6
16	0	.	-in'	4
16	.	.	.	6
16	0	.	for	5
16	1	.	all	6
16	0	.	that	3
16	1	.	I	6
16	0	.	can	5
8	1	.	get	6
8	.	.	.	4
=12	=12	=12	=12	=12
16	1	3	ki-	1
16	0	.	-ckin'	6
16	1	.	at	5
16	0	.	the	6
16	1	.	top	4
16	0	.	be-	6
16	1	.	-cause	5
16	0	.	I'm	6
16	1	.	too	3
16	0	.	le-	6
16	1	.	-git	5
16	0	.	to	6
8	1	.	quit	4
8	1	0	sing	6
=0	=0	=0	=0	=0
2..	.	.	.	1
16	1	4	when	6
16	0	.	I	5
=1	=1	=1	=1	=1
8	1	.	feel	1
8	1	.	high	6
8	1	.	post	5
16	1	3	don't	6
16	0	.	you	4
16	1	.	play	6
16	0	.	me	5
8	1	.	close	6
16	.	.	.	3
16	0	3	a	6
16	1	.	dig	5
16	0	.	'em	6
=2	=2	=2	=2	=2
16	1	.	smack	1
16	0	3	a	6
16	1	.	get	5
16	0	.	you	6
16	1	.	back	4
16	0	3	and	6
8	1	.	i'll	5
16	1	.	hit	6
16	0	.	you	3
16	1	.	with	6
16	0	.	a	5
8	1	.	dose	6
16	.	.	.	4
16	0	3	of	6
=3	=3	=3	=3	=3
8	1	.	oak	1
8	1	.	town	6
16	1	.	pow-	5
16	0	.	-er	6
16	.	.	.	4
16	0	3	and	6
16	1	.	charge	5
16	0	.	you	6
16	1	.	by	3
16	0	.	the	6
16	1	.	ho-	5
16	0	.	-ur	6
16	.	.	.	4
16	0	3	I'm	6
=4	=4	=4	=4	=4
16	1	.	sha-	1
16	0	.	-kin'	6
16	1	.	like	5
16	0	.	a	6
8	1	.	quake	4
16	0	.	and	6
8	1	.	punks	5
8	1	.	get	6
16	0	.	de-	3
16	1	.	-vou-	6
16	0	.	-red	5
8	1	3	I	6
=5	=5	=5	=5	=5
8	1	.	choose	1
16	1	.	to	6
16	0	.	a-	5
8	1	.	-buse	6
16	0	.	mis-	4
8	1	.	-use	6
16	0	.	and	5
8	1	.	con-	6
8	1	.	-fuse	3
8	1	3	com-	6
=6	=6	=6	=6	=6
16	1	.	-pe-	1
16	0	.	-ti-	6
16	1	.	-tors	5
16	0	.	who	6
8	1	.	think	4
8	1	.	they're	6
24	1	.	ma-	5
24	0	.	-kin'	6
24	0	.	up	3
16	1	.	all	6
16	0	.	the	5
8.	1	.	rules	6
16	.	.	.	4
=7	=7	=7	=7	=7
8	1	3	fools	1
16	1	.	in	6
16	0	.	the	5
8	1	.	game	6
16	.	.	.	4
8	1	3	lame	6
16	0	.	and	5
8	1	.	in-	6
8	1	.	-sane	3
16	1	3	it's	6
16	0	.	a	5
=8	=8	=8	=8	=8
16	1	.	shame	1
16	0	.	I	6
16	1	.	go-	5
16	0	.	-tta	6
16	1	.	do	4
16	0	.	this	6
16	1	.	but	5
16	.	.	.	6
16	1	.	I	3
16	0	.	re-	6
16	1	.	-main	5
16	0	.	the	6
8	1	.	same	4
8	1	3	un-	6
=9	=9	=9	=9	=9
8	1	.	-changed	1
16	1	3	ge-	6
16	0	.	-ttin'	5
16	1	.	be-	6
16	0	.	-tter	4
16	1	3	ne-	6
16	0	.	-ver	5
16	1	.	known	6
16	.	.	.	3
16	1	.	as	6
16	0	.	a	5
16	1	.	swea-	6
16	0	.	-ter	4
8	.	.	.	6
=10	=10	=10	=10	=10
24	1	3	ki-	1
24	0	.	-ckin'	6
24	0	.	it	5
16	1	.	at	6
16	0	.	the	4
16	1	.	top	6
16	0	.	be-	5
16	1	.	-cause	6
16	0	.	I	3
16	1	.	got	6
16	0	.	my-	5
16	1	.	-self	6
16	0	.	to-	4
16	1	.	-ge-	6
16	0	.	-ther	5
16	.	.	.	6
16	0	3	so	2
=11	=11	=11	=11	=11
8	1	.	roll	1
16	1	.	with	6
16	0	.	a	5
8	1	.	guy	6
16	0	.	who's	4
8	1	.	phy-	6
16	0	.	-si-	5
16	1	.	-cal	6
16	0	.	and	3
8	1	.	fit	6
8	.	.	.	5
=12	=12	=12	=12	=12
8	1	3	knows	1
16	0	.	the	6
8.	1	.	time	5
16	.	.	.	6
16	0	2	and	4
16	1	.	too	6
16	0	.	le-	5
16	1	.	-git	6
16	0	.	to	3
8	1	.	quit	6
8	1	0	sang	5
=1	=1	=1	=1	=1
8	1	4	step	1
16	1	.	to	6
16	0	.	the	5
16	1	.	rhy-	6
16	0	.	-thm	4
16	1	.	of	6
16	0	.	a	5
8	1	.	sho	6
8	1	.	nuff	3
16	1	.	wi-	6
16	0	.	-nner	5
8	.	.	.	6
=2	=2	=2	=2	=2
16	1	3	I	1
16	0	.	been	6
16	1	.	here	5
16	0	.	be-	6
8	1	.	-fore	4
16	1	3	yo	6
16	0	.	I	5
8	1	.	ain't	6
16	1	.	no	3
16	0	.	be-	6
16	1	.	-gi-	5
16	0	.	-nner	6
16.	.	.	.	4
32	0	3	but	6
=3	=3	=3	=3	=3
16	1	.	I	1
8	0	.	been	6
8	1	.	new	5
8.	.	.	.	6
8	1	3	tried	4
8	0	.	and	6
8	1	.	true	5
16	.	.	.	6
16	0	3	sur-	3
=4	=4	=4	=4	=4
16	1	.	-vi-	1
16	0	.	-val	6
16	1	.	of	5
16	0	.	the	6
16	1	.	fi-	4
16	0	.	-ttest	6
16	1	.	yo	5
16	0	.	it	6
8	1	.	brought	3
16	0	.	me	6
8.	1	.	through	5
8	1	3	my	6
=5	=5	=5	=5	=5
8.	1	.	crew	1
8.	.	.	.	6
8	1	.	we're	5
16	1	.	rea-	6
16	0	.	-dy	4
16	0	.	to	6
8	1	.	strike	5
8.	.	.	.	6
=6	=6	=6	=6	=6
8	1	4	trained	1
16	1	.	for	6
16	0	.	the	5
16	1	.	mi-	6
16	0	.	-ssion	4
16	1	.	so	6
16	0	.	be-	5
8	1	.	-lieve	6
16	0	.	the	3
8	1	.	hype	6
16	.	.	.	5
8	1	3	and	6
=7	=7	=7	=7	=7
16	1	.	sweat	1
16	0	.	it	6
4	.	.	.	5
16	1	3	'cause	6
16	0	.	you're	4
16	1	.	go-	6
16	0	.	-nna	5
16	0	.	re-	6
8	1	.	-gret	3
16	0	.	it	6
16	.	.	.	5
16	0	3	the	6
=8	=8	=8	=8	=8
8	1	.	day	1
16	1	.	that	6
16	0	.	you	5
8	1	.	dissed	6
16	0	.	us	4
16	0	.	you'll	6
16	1	.	wish	5
16	0	.	you	6
16	1	.	ne-	3
16	0	.	-ver	6
16	1	.	met	5
16	0	.	us	6
16	1	3	you	4
16	0	.	re-	6
=9	=9	=9	=9	=9
8	1	.	-mind	1
8	0	.	me	6
8	.	.	.	5
16	1	3	of	6
16	0	.	a	4
8	1	.	real	6
8	1	.	short	5
8	1	.	stor-	6
8	0	.	-y	3
=10	=10	=10	=10	=10
8	1	3	one	1
8	1	.	hit	6
16	1	.	re-	5
16	0	.	-cord	6
16	1	.	and	4
16	0	.	you	6
8	1	.	star	5
16	0	.	to	6
8	1	.	bore	3
16	0	.	me	6
8	1	3	get	5
=11	=11	=11	=11	=11
16	1	.	rea-	1
16	0	.	-dy	6
4	.	.	.	5
8	1	3	cause	6
16	1	.	this	4
8	0	.	is	6
8	1	.	it	5
16	.	.	.	6
8	1	3	your	3
=12	=12	=12	=12	=12
16	1	.	crew	1
8	0	.	is	6
8	1	.	through	5
16	0	3	and	6
8	1	.	we	4
16	1	.	too	6
16	0	.	le-	5
16	1	.	-git	6
16	0	.	to	3
8	1	.	quit	6
8	1	0	sang	5
=0	=0	=0	=0	=0
2..	.	.	.	1
8	1	4	my	6
=1	=1	=1	=1	=1
8	1	.	peo-	1
8	0	.	-ple	6
8	.	.	.	5
16	1	3	we	6
16	0	.	don't	4
8	1	.	know	6
16	0	.	de-	5
8	1	.	-feat	6
16	.	.	.	3
8	1	3	we	6
=2	=2	=2	=2	=2
8	1	.	crush	1
16	0	.	the	6
8	1	.	strong	5
16	0	.	and	6
16	1	.	per-	4
16	0	.	-co-	6
8	1	.	-late	5
16	0	.	the	6
8	1	.	weak	3
8.	.	.	.	6
=3	=3	=3	=3	=3
8	1	3	dai-	1
8	0	.	-ly	6
8	.	.	.	5
8	1	3	we	6
16	1	.	make	4
8	0	.	our	6
8	1	.	moves	5
16	.	.	.	6
16	1	3	to	3
16	0	.	im-	6
=4	=4	=4	=4	=4
16	1	.	-prove	1
8	0	.	our	6
8	1	.	groove	5
16	0	3	be-	6
16	1	.	-cause	4
16	0	.	we	6
8	1	.	love	5
16	0	.	to	6
8	1	.	rule	3
16	0	.	where	6
8	1	.	we	5
=5	=5	=5	=5	=5
8	1	.	lay	1
8	.	.	.	6
8	1	3	yo	5
8	.	.	.	6
16	1	.	work	4
8	0	.	and	6
8.	1	.	play	5
16	.	.	.	6
16	0	3	we	3
=6	=6	=6	=6	=6
16	1	.	star-	1
16	0	.	-ted	6
16	1	.	at	5
16	0	.	the	6
16	1	.	bo-	4
16	0	.	-ttom	6
16	1	.	now	5
16	0	.	we're	6
8	1	.	leadin'	3
16	0	.	the	6
8	1	.	way	5
16	.	.	.	6
8	1	3	and	4
=7	=7	=7	=7	=7
8.	1	.	yea	1
8.	.	.	.	6
8	1	3	I'm	5
16	1	.	ha-	6
16	0	.	-vin'	4
16	0	.	a	6
8	1	.	fit	5
8.	.	.	.	6
=8	=8	=8	=8	=8
24	1	3	ki-	1
24	0	.	-ckin'	6
24	0	.	it	5
16	1	.	at	6
16	0	.	the	4
16	1	.	top	6
16	0	.	be-	5
16	1	.	-cause	6
