=1	=1	=1	=1	=1
16	.	.	.	1
16	0	4	I	6
16	1	.	met	5
16	0	.	this	6
16	1	.	chick	4
16	0	.	and	6
16	1	.	she	5
16	0	.	just	6
16	1	.	moved	3
16	0	.	right	6
16	1	.	up	5
16	0	.	the	6
16	1	.	block	4
16	0	.	from	6
16	1	.	me	5
16	0	0	and	6
=2	=2	=2	=2	=2
16	1	.	uh	1
16	0	3	she	6
16	1	.	got	5
16	0	.	the	6
16	1	.	hots	4
16	0	.	for	6
16	1	.	me	5
16	0	3	the	6
16	1	.	fi-	3
16	0	.	-nest	6
16	1	.	thing	5
16	0	.	my	6
16	1	.	hood	4
16	0	.	done	6
16	1	.	seen	5
16	0	4	but	6
=3	=3	=3	=3	=3
8	1	.	oh	1
4	1	.	no	6
8	1	.	no	5
16	.	.	.	6
16	0	3	she	4
16	1	.	go-	6
16	0	.	-tta	5
8	1	.	man	6
16	1	.	and	3
16	0	.	a	6
=4	=4	=4	=4	=4
8	1	.	son	1
4	1	.	doh	6
8	1	.	oh	5
16	.	.	.	6
16	0	3	but	4
16	1	.	that's	6
16	0	.	o-	5
8	1	.	-kay	6
16	1	.	'cause	3
16	0	.	I	6
=5	=5	=5	=5	=5
16	.	.	.	1
16	1	4	wait	6
16	0	.	for	5
16	0	.	my	6
16	1	.	cue	4
16	0	.	and	6
16	0	.	just	5
16	1	.	li-	6
16	0	.	-sten	3
16	1	3	play	6
16	0	.	my	5
16	0	.	po-	6
16	1	.	-si-	4
16	0	.	-tion	6
16	1	.	like	5
16	0	.	a	6
=6	=6	=6	=6	=6
8	1	.	short-	1
8	1	.	-stop	6
16	.	.	.	5
16	1	3	pick	6
16	0	.	up	4
8	1	.	e'ry-	6
16	0	.	-thing	5
16	1	.	ma-	6
16	0	.	-mi	3
16	1	.	hi-	6
16	0	.	-ttin'	5
16	1	4	and	6
16	0	.	in	4
=7	=7	=7	=7	=7
8	1	.	no	1
4	1	.	time	6
8	1	.	I	5
16	.	.	.	6
16	0	3	I	4
16	1	.	plan	6
16	0	.	to	5
8	1	.	make	6
16	1	.	this	3
16	0	.	one	6
=8	=8	=8	=8	=8
8	1	.	here	1
4	1	.	mine	6
8.	1	.	ine	5
16	0	3	and	6
16	1	.	that's	4
16	0	.	for	6
8	1	.	sure	5
16	1	.	'cause	6
16	0	.	I	3
=9	=9	=9	=9	=9
16	.	.	.	1
16	0	4	I	6
16	1	.	ne-	5
16	0	.	-ver	6
16	1	.	been	4
16	0	.	the	6
16	1	.	type	5
16	0	.	to	6
16	.	.	.	3
16	1	3	break	6
16	0	.	up	5
16	0	.	a	6
16	1	.	ha-	4
16	0	.	-ppy	6
16	1	.	home	5
16	0	0	but	6
=10	=10	=10	=10	=10
16	1	.	uh	1
16	0	3	there's	6
16	1	.	some-	5
16	0	.	-thin'	6
16	0	.	bout	4
16	1	.	ba-	6
16	0	.	-by	5
