=0	=0	=0	=0	=0
2..	.	.	.	1
8	0	4	em-	6
=1	=1	=1	=1	=1
4	1	.	-cees	1
16	1	3	try'-	6
16	0	.	-na	5
8	0	.	play	6
8	1	.	post	4
8	.	.	.	6
16	1	3	play	5
16	0	.	me	6
8	0	.	up	3
=2	=2	=2	=2	=2
8	1	.	close	1
8	.	.	.	6
8.	1	3	brag	5
16	0	.	and	6
8.	1	.	boast	4
16	0	3	ya	6
8	1	.	know	5
8	.	.	.	6
=3	=3	=3	=3	=3
8	1	4	things	1
16	0	.	like	6
8	1	.	that	5
8	1	.	make	6
16	0	.	me	4
8	1	.	wear-	6
8	0	.	-y	5
8	1	.	but	6
16	.	.	.	3
16	0	3	I	6
=4	=4	=4	=4	=4
16	1	.	ne-	1
16	0	.	-ver	6
16	1	.	let	5
16	0	.	a	6
16	1	.	ra-	4
16	0	.	-pper	6
8	1	.	get	5
8	1	.	near	6
8	0	.	me	3
4	1	3	cuz	6
=5	=5	=5	=5	=5
8	1	.	I'm	1
8	1	.	Rob	6
8	1	.	Base	5
8	.	.	.	6
16	1	3	pick	4
8	0	.	up	6
16	0	.	the	5
8.	1	.	pace	6
16	.	.	.	3
=6	=6	=6	=6	=6
16	.	.	.	1
16	0	4	it	6
8	1	.	takes	5
8	1	.	more	6
16	0	.	than	4
8	1	.	beats	6
16	0	1	to	5
8	1	.	rock	6
8	1	.	this	3
8	1	.	place	6
=7	=7	=7	=7	=7
16	.	.	.	1
16	0	3	it	6
8	1	.	takes	5
8	1	.	more	6
16	0	.	than	4
8	1	.	rhymes	6
16	0	1	to	5
8	1	.	rock	6
8	1	.	this	3
8	1	.	time	6
=8	=8	=8	=8	=8
16	.	.	.	1
8	1	4	rhyme	6
16	0	.	for	5
8.	1	.	rhyme	6
16	0	3	the	4
8	1	.	Base	6
16	0	.	de-	5
8.	1	.	-sign	6
8	0	4	M	3
=9	=9	=9	=9	=9
8	1	.	Cs	1
8	0	.	get	6
4	1	.	mad	5
16	.	.	.	6
16	0	3	cuz	4
8	1	.	I'm	6
16	1	.	blow-	5
16	0	.	-in'	6
8	0	.	up	3
=10	=10	=10	=10	=10
16	.	.	.	1
16	0	3	to	6
16	1	.	e-	5
16	0	.	-very	6
16	1	.	ba-	4
16	0	.	-ttle	6
16	.	.	.	5
16	0	3	the	6
8	1	.	base	3
8	0	.	keeps	6
16	1	.	show-	5
16	0	.	-in'	6
8	0	.	up	4
=11	=11	=11	=11	=11
16	.	.	.	1
16	0	4	a	6
8	1	.	fast	5
8	1	.	tem-	6
8	0	.	-po	4
16	.	.	.	6
16	0	3	a	5
16	1	.	with	6
16	0	.	a	3
8	1	.	hook	6
8	.	.	.	5
=12	=12	=12	=12	=12
16	.	.	.	1
16	0	3	don't	6
16	1	.	judge	5
16	0	.	a	6
8	1	.	book	4
16	1	1	by	6
16	0	.	the	5
8	1	.	way	6
16	1	.	that	3
16	0	.	the	6
16	1	.	co-	5
16	0	.	-ver	6
8	1	.	look	4
=13	=13	=13	=13	=13
16	.	.	.	1
16	0	4	cuz	6
8	1	.	I'm	5
8	1	.	mean	6
8	.	.	.	4
8	1	3	reign	6
16	0	.	su-	5
8.	1	.	-preme	6
16	.	.	.	3
8	1	3	wrote	6
=14	=14	=14	=14	=14
16	0	.	my	1
8	1	.	first	6
8	1	.	rhyme	5
16	1	.	at	6
16	0	.	the	4
8	1	.	age	6
8	0	.	of	5
8	1	.	fif-	6
8	1	.	-teen	3
=15	=15	=15	=15	=15
16	.	.	.	1
16	0	4	I'm	6
16	1	.	like	5
16	0	.	a	6
8	1	.	match	4
8	0	1	when	6
8	1	.	struck	5
8	0	.	I	6
8	1	.	burn	3
8	.	.	.	6
=16	=16	=16	=16	=16
16	.	.	.	1
8	1	3	not	6
16	0	.	con-	5
8	1	.	-cerned	6
16	1	3	cuz	4
16	0	.	I'm	6
8	1	.	sure	5
16	1	.	that	6
16	0	.	ya	3
8	1	.	won't	6
8	1	.	learn	5
=17	=17	=17	=17	=17
8	.	.	.	1
8	1	4	now	6
16	1	.	git	5
8	0	.	up	6
8	.	.	.	4
16	0	3	and	6
8	1	.	let's	5
8	1	.	start	6
8	.	.	.	3
=18	=18	=18	=18	=18
16	.	.	.	1
16	0	3	I	6
16	1	.	wa-	5
16	0	.	-nna	6
8	1	.	see	4
8	0	1	which	6
16	1	.	su-	5
16	0	.	-cka	6
8	1	.	got	3
8	1	.	heart	6
8	.	.	.	5
=19	=19	=19	=19	=19
16	.	.	.	1
16	0	4	I	6
8	1	.	get	5
8	1	.	fresh	6
16	.	.	.	4
8	1	3	as	6
16	0	.	I	5
8	1	.	get	6
8	1	.	ol-	3
8	0	.	-der	6
=20	=20	=20	=20	=20
8	.	.	.	1
16	1	3	e-	6
16	0	.	-very	5
8	1	.	time	6
16	0	.	I	4
8	1	.	rock	6
16	0	1	I	5
8	1	.	get	6
8	1	.	bol-	3
8.	0	.	-der	6
=21	=21	=21	=21	=21
16	0	3	so	1
8	1	.	don't	6
8	1	.	sleep	5
8.	.	.	.	6
16	0	3	and	4
16	1	.	say	6
16	0	.	I'm	5
8	1	.	wack	6
8	.	.	.	3
=22	=22	=22	=22	=22
16	.	.	.	1
16	0	3	cuz	6
16	1	.	if	5
16	0	.	ya	6
16	1	.	do	4
16	0	1	ya	6
8	1	.	get	5
8	1	.	back-	6
8	1	.	-slap	3
8	1	.	back-	6
8	1	.	-slap	5
=1	=1	=1	=1	=1
16	.	.	.	1
8	1	4	drop	6
16	0	.	your	5
8	1	.	e-	6
8	0	.	-go	4
16	.	.	.	6
16	0	3	and	5
8	1	.	let	6
8	1	.	me	3
8.	0	.	go	6
=2	=2	=2	=2	=2
16	0	3	and	1
8	1	.	just	6
8	1	.	show	5
16	1	1	what	6
16	0	.	I	4
8	1	.	know	6
16	1	1	cuz	5
16	0	.	I'm	6
8	1	.	on	3
16	0	.	the	6
8	1	.	go	5
=3	=3	=3	=3	=3
16	0	4	I	1
8	1	.	rock	6
8.	1	.	smooth	5
8	1	3	bust	6
16	0	.	a	4
8	1	.	move	6
8	1	3	hit	5
8	0	.	me	6
=4	=4	=4	=4	=4
8	.	.	.	1
16	1	3	and	6
16	0	.	the	5
16	1	.	way	6
16	0	.	I	4
16	0	.	per-	6
8	1	.	-form	5
16	0	1	you	6
16	1	.	can't	3
16	0	.	for-	6
8	1	.	-get	5
8	0	.	me	6
=5	=5	=5	=5	=5
16	1	4	clear	1
8	0	.	off	6
16	0	.	the	5
8	1	.	smoke	6
8.	.	.	.	4
16	0	3	this	6
16	1	.	ain't	5
16	0	.	a	6
8	1	.	joke	3
8	.	.	.	6
=6	=6	=6	=6	=6
16	.	.	.	1
16	0	3	the	6
8	1	.	new	5
16	1	.	kid	6
16	0	.	on	4
16	0	.	the	6
8	1	.	block	5
16	0	1	is	6
8	1	.	like	3
8	1	.	dope	6
8	0	3	been	5
=7	=7	=7	=7	=7
8	1	.	here	1
16	1	.	for	6
16	0	.	a	5
4	1	.	while	6
16	.	.	.	4
