=0	=0	=0	=0	=0
4.	.	.	.	1
8	0	4	i+	6
4	1	.	like^	5
4	1	.	big)	6
=1	=1	=1	=1	=1
8	1	.	butts,	1
16	1	3	and[	6
16	0	.	i+	5
8	1	.	can-	6
8	0	.	-not	4
4	1	.	lie.	6
8	.	.	.	5
8	0	3	you	6
=2	=2	=2	=2	=2
16	1	.	o-	1
16	0	.	-ther	6
16	1	.	bro-	5
16	0	.	-thers+	6
8	1	.	can't	4
8	0	.	de-	6
4	1	.	-ny^	5
16	.	.	.	6
16	0	3	that[	3
16	1	.	when<	6
16	0	.	a	5
=3	=3	=3	=3	=3
8	1	.	girl+	1
8	0	.	walks	6
8	1	.	in+	5
16	1	1	with<	6
16	0	.	an	4
16	1	.	i-	6
16	0	.	-tty	5
16	1	.	b-	6
16	0	.	-itty)	3
8	1	.	waste,	6
16	1	3	and[	5
16	0	.	a	6
=4	=4	=4	=4	=4
8	1	.	round)	1
8	1	.	thing(	6
8	1	.	in<	5
8	1	.	your)	6
8	1	.	face:	4
8	0	1	you+	6
4	1	.	get{	5
=5	=5	=5	=5	=5
4	1	.	sprung.	1
8	.	.	.	6
16	1	4	wa-	5
16	0	.	-nna	6
16	1	.	pull	4
16	0	.	up{	6
8	.	.	.	5
8	1	.	tough;	6
16	1	3	because[	3
16	0	.	you+	6
=6	=6	=6	=6	=6
16	1	.	no-	1
16	0	.	-ticed^	6
8	1	.	that	5
8	1	.	butt(	6
8	0	.	was[	4
8	1	.	stuffed^	6
4.	.	.	.	5
=7	=7	=7	=7	=7
8	1	4	deep(	1
16	1	.	in<	6
16	0	.	the	5
8	1	.	jeans(	6
8	0	.	she's^	4
8	1	.	wear-	6
8	0	.	-ing.	5
8	.	.	.	6
8	0	3	i'm^	3
=8	=8	=8	=8	=8
8	1	.	hooked,	1
16	1	.	and[	6
16	0	.	i+	5
8	1	.	can't	6
8	0	.	stop	4
8	1	.	star-	6
8	0	.	-ing.	5
4	1	4	oh	6
=9	=9	=9	=9	=9
4	1	.	ba-	1
8.	0	.	-by/	6
16	0	3	i+	5
16	1	.	wa-	6
16	0	.	-nna	4
8	1	.	get_	6
8	1	.	_with^	5
8	0	.	you,	6
=10	=10	=10	=10	=10
8	.	.	.	1
8	0	3	and[	6
8	1	.	take^	5
8	0	.	your)	6
8	1	.	pic-	4
8	0	.	-ture.	6
8	.	.	.	5
8	0	4	my	6
=11	=11	=11	=11	=11
8	1	.	home-	1
8	0	.	-boys+	6
8	1	.	tried	5
8	0	.	to	6
8.	1	.	warn^	4
8	0	.	me,	6
16	0	3	but[	5
16	1	.	that	6
16	.	.	.	3
=12	=12	=12	=12	=12
8	1	.	butt(	1
