=0	=0	=0	=0	=0
2..	.	.	.	1
8	1	4	yo	6
=1	=1	=1	=1	=1
16	1	.	E	1
8	0	.	M	6
8	1	.	D	5
16	.	.	.	6
8	1	3	yeah	4
16	1	.	what's	6
8	0	.	up	5
8.	1	.	man	6
8	.	.	.	3
=2	=2	=2	=2	=2
16	1	3	there	1
16	0	.	go	6
8	1	.	that	5
8	1	.	girl	6
16	0	.	they	4
8	1	.	call	6
8	1	.	Ro-	5
8.	1	.	-xanne	6
16	.	.	.	3
16	0	3	she's	6
=3	=3	=3	=3	=3
8	1	.	all	1
8	1	.	stuck	6
8	1	.	up	5
16	1	3	why	6
16	0	.	do	4
16	1	.	you	6
8	0	.	say	5
8	1	.	that	6
16	.	.	.	3
16	1	3	'cause	6
16	0	.	she	5
=4	=4	=4	=4	=4
16	1	.	woul-	1
16	0	.	-dn't	6
16	1	.	give	5
16	0	.	a	6
8	1	.	guy	4
8	1	.	like	6
16	1	.	me	5
8	0	.	no	6
8	1	.	rap	3
16	0	3	well	6
16	1	.	she	5
16	0	.	was	6
=5	=5	=5	=5	=5
16	1	.	wal-	1
16	0	.	-kin'	6
16	1	.	down	5
16	0	.	the	6
8	1	.	street	4
16	1	1	so	6
16	0	.	I	5
16	1	.	said	6
8	1	.	he-	3
8	1	.	-llo	6
16	.	.	.	5
8	1	3	I'm	6
=6	=6	=6	=6	=6
8	.	.	.	1
8	1	.	Kang-	6
8	1	.	-ol	5
16	1	1	from	6
16	0	.	U	4
16	1	.	T	6
8	0	.	F	5
8	1	.	O	6
16	0	3	and	3
16	1	.	she	6
16	0	.	said	5
=7	=7	=7	=7	=7
8	1	.	so	1
16	1	1	I	6
16	0	.	said	5
8	1	.	so	6
8	.	.	.	4
16	1	2	ba-	6
16	0	.	-by	5
16	1	.	don't	6
16	0	.	you	3
8	1	.	know	6
16	1	3	I	5
16	0	.	can	6
=8	=8	=8	=8	=8
8	1	.	sing	1
16	1	.	rap	6
16	0	.	and	5
8	1	.	dance	6
16	0	1	in	4
8	1	.	just	6
8	1	.	one	5
8	1	.	show	6
16	0	3	'cause	3
8	1	.	I'm	6
=9	=9	=9	=9	=9
8	.	.	.	1
8	1	.	Kang-	6
8	1	.	-ol	5
16	.	.	.	6
16	0	2	mis-	4
16	1	.	-ter	6
16	0	.	so-	5
16	1	.	-phi-	6
16	0	.	-sti-	3
16	1	.	-ca-	6
16	0	.	-ter	5
8	.	.	.	6
=10	=10	=10	=10	=10
16	1	3	as	1
16	0	.	far	6
8	1	.	as	5
8	1	.	know	6
8	0	1	ain't	4
8	1	.	no-	6
16	1	.	-bo-	5
16	0	.	-dy	6
16	1	.	grea-	3
16	0	.	-ter	6
16	1	3	from	5
16	0	.	be-	6
=11	=11	=11	=11	=11
16	1	.	-gi-	1
8	0	.	-nning	6
16	0	.	to	5
8	1	.	end	6
8	1	2	end	4
8	.	.	.	6
16	1	.	to	5
16	0	.	be-	6
16	1	.	-gi-	3
8	0	.	-nning	6
16	.	.	.	5
=12	=12	=12	=12	=12
16	.	.	.	1
16	0	3	I	6
16	1	.	ne-	5
16	0	.	-ver	6
16	1	.	lose	4
16	0	.	be-	6
16	1	.	-cause	5
16	0	.	I'm	6
16	1	.	all	3
16	0	.	a-	6
8	1	.	-bout	5
16	1	.	wi-	6
16	0	.	-nning	4
16	1	3	but	6
16	0	.	if	5
=13	=13	=13	=13	=13
16	1	.	I	1
16	0	.	was	6
16	0	.	to	5
8.	1	.	lose	6
16	.	.	.	4
16	0	2	I	6
16	1	.	woul-	5
16	0	.	-dn't	6
16	1	.	be	3
16	0	.	up-	6
8	1	.	-set	5
16	.	.	.	6
16	0	3	'cause	4
=14	=14	=14	=14	=14
8	1	.	I'm	1
16	1	.	not	6
16	0	.	a	5
16	1	.	gam-	6
16	0	.	-b-	4
16	0	.	-ler	6
8	1	2	I	5
8	1	.	don't	6
8	1	.	bet	3
16	0	3	I	6
16	0	.	don't	5
8	1	.	be	6
=15	=15	=15	=15	=15
16	0	.	in	1
16	1	.	no	6
16	0	.	ca-	5
16	1	.	-si-	6
16	0	.	-no	4
16	.	.	.	6
16	0	3	and	5
16	1	.	ba-	6
16	0	.	-by	3
16	1	.	while	6
16	0	.	you	5
16	1	.	knizz	6
8	0	.	oh	4
16	0	3	the	6
=16	=16	=16	=16	=16
16	1	.	is	1
16	0	.	uh	6
16	0	.	I	5
8	1	.	is	6
16	0	1	the	4
16	1	.	griz	6
16	0	.	uh	5
16	0	.	eat	6
16	1	.	kizz	3
16	0	.	uh	6
16	0	.	and	5
16	1	.	kizz	6
8	0	.	oh	4
16	0	3	I	6
=17	=17	=17	=17	=17
16	1	.	thought	1
16	0	.	she'd	6
16	1	.	be	5
16	0	.	im-	6
16	1	.	-pressed	4
16	0	.	by	6
16	1	.	my	5
16	0	.	'm	6
16	1	.	de-	3
16	0	.	-vi-	6
16	0	.	-ous	5
8	1	.	rap	6
8	.	.	.	4
16	0	3	I	6
=18	=18	=18	=18	=18
16	1	.	thought	1
16	0	.	I	6
16	1	.	had	5
16	0	.	her	6
16	1	.	caught	4
16	0	.	'cause	6
16	1	.	I'm	5
16	0	.	a	6
16	1	.	si-	3
16	0	.	-ni-	6
16	0	.	-ster	5
8	1	.	trap	6
16	0	3	I	4
16	1	.	thought	6
16	0	.	it'd	5
=19	=19	=19	=19	=19
16	1	.	be	1
16	0	.	a	6
16	1	.	piece	5
16	0	.	of	6
16	1	.	cake	4
16	0	.	but	6
16	1	.	it	5
16	0	.	was	6
16	1	.	no-	3
16	0	.	-thing	6
16	0	.	like	5
8	1	.	that	6
16	0	3	I	4
16	1	.	guess	6
16	0	.	that's	5
=20	=20	=20	=20	=20
16	1	.	what	1
16	0	.	I	6
16	1	.	get	5
16	0	.	for	6
16	1	.	think-	4
16	0	.	-ing	6
16	0	.	ain't	5
8	1	.	that	6
8	1	.	right	3
8	1	.	black	6
16	.	.	.	5
8	1	4	then	6
=21	=21	=21	=21	=21
16	1	.	crizz	1
16	0	.	I	6
16	.	.	.	5
16	0	.	to	6
16	1	.	gizz	4
16	0	.	oh	6
16	.	.	.	5
16	0	2	and	6
16	1	.	seen	3
16	0	.	this	6
16	1	.	num-	5
16	0	.	-ber	6
16	1	.	whiz	4
16	0	.	uh	6
16	.	.	.	5
16	0	3	cri-	6
=22	=22	=22	=22	=22
16	1	.	-zzin'	1
16	0	.	with	6
16	1	.	ro-	5
16	0	.	-cking	6
16	1	.	ti-	4
16	0	.	-zza	6
16	1	.	of	5
16	0	.	mi-	6
16	1	.	-zzac	3
16	0	.	the	6
16	1	.	mic	5
16	0	.	to	6
16	1	.	dizz	4
16	0	.	uh	6
16	1	3	with	5
16	0	.	the	6
=23	=23	=23	=23	=23
8	.	.	.	1
8	1	.	bang	6
8	1	.	bang	5
16	1	1	bro-	6
16	0	.	-ther	4
16	1	.	I	6
8	1	.	feel	5
8	1	.	bad	6
16	.	.	.	3
16	1	3	but	6
16	0	.	I	5
=24	=24	=24	=24	=24
16	1	.	ain't	1
16	0	.	co-	6
16	1	.	-mmi-	5
16	0	.	-tting	6
16	1	.	su-	4
8	0	.	-i-	6
8	1	.	-cide	5
16	0	.	for	6
8	1	.	no	3
8	1	.	crab	6
8	.	.	.	5
=25	=25	=25	=25	=25
16	1	4	ca-	1
16	0	.	-lling	6
16	1	.	her	5
16	0	.	a	6
16	1	.	crab	4
16	0	1	is	6
16	1	.	just	5
16	0	.	a	6
16	1	.	fi-	3
16	0	.	-gure	6
16	0	.	of	5
8	1	.	speech	6
16	0	3	'cause	4
16	1	.	she's	6
16	0	.	an	5
=26	=26	=26	=26	=26
16	1	.	a-	1
16	0	.	-pple	6
16	.	.	.	5
16	0	1	a	6
8	1	.	pear	4
16	.	.	.	6
16	0	1	a	5
16	1	.	plum	6
16	0	.	and	3
16	0	.	a	6
8.	1	.	peach	5
8	.	.	.	6
=27	=27	=27	=27	=27
16	.	.	.	1
16	0	3	I	6
16	1	.	thought	5
16	0	.	I	6
16	1	.	had	4
16	0	.	it	6
16	1	.	in	5
16	0	.	the	6
16	1	.	palm	3
16	0	.	of	6
16	0	.	my	5
8.	1	.	hand	6
16	.	.	.	4
16	0	3	but	6
=28	=28	=28	=28	=28
16	1	.	man	1
8	0	.	oh	6
8	1	.	man	5
16	0	1	if	6
16	1	.	I	4
16	0	.	was	6
8	1	.	grand	5
8	1	.	I'd	6
8	1	.	bang	3
8	0	.	Ro-	6
=-29	=-29	=-29	=-29	=-29
8.	1	.	-xanne	1
16	.	.	.	6
2.	.	.	.	5
=1	=1	=1	=1	=1
8	1	4	you	1
8	1	.	Kang-	6
8	1	.	-ol	5
16	1	2	I	6
16	0	.	don't	4
16	1	.	think	6
16	0	.	that	5
16	0	.	you're	6
8	1	.	dense	3
16	.	.	.	6
16	1	3	but	5
16	0	.	you	6
=2	=2	=2	=2	=2
16	1	.	went	1
16	0	.	a-	6
16	1	.	-bout	5
16	0	.	the	6
16	1	.	ma-	4
16	0	.	-tter	6
16	0	1	with	5
8	1	.	no	6
16	0	.	ex-	3
16	1	.	-per-	6
16	0	.	-i-	5
8	1	.	-ence	6
16	1	4	you	4
16	0	.	should	6
=3	=3	=3	=3	=3
8	1	.	know	1
16	.	.	.	6
16	0	1	she	5
16	1	.	doe-	6
16	0	.	-sn't	4
16	1	.	need	6
16	0	.	a	5
16	1	.	guy	6
8	0	.	like	3
8	1	.	you	6
16	0	3	she	5
16	1	.	needs	6
16	0	.	a	4
=4	=4	=4	=4	=4
16	1	.	guy	1
8	0	.	like	6
8	1	.	me	5
16	.	.	.	6
16	1	2	with	4
16	0	.	a	6
16	1	.	high	5
8	0	.	I	6
8	1	.	Q	3
16	.	.	.	6
8	1	4	and	5
=5	=5	=5	=5	=5
16	1	.	she'll	1
8	0	.	take	6
16	0	.	to	5
16	1	.	my	6
8	0	.	rap	4
16	0	1	'cause	6
16	1	.	my	5
8	0	.	rap's	6
16	0	.	the	3
8	1	.	best	6
16	.	.	.	5
16	0	3	the	6
=6	=6	=6	=6	=6
16	1	.	e-	1
16	0	.	-du-	6
16	1	.	-ca-	5
16	0	.	-ted	6
16	1	.	ra-	4
16	0	.	-pper	6
16	0	.	M	5
8	1	.	D	6
16	0	1	will	3
16	1	.	ne-	6
16	0	.	-ver	5
8	1	.	fess	6
8	.	.	.	4
=7	=7	=7	=7	=7
16	.	.	.	1
16	0	4	so	6
16	1	.	when	5
16	0	.	I	6
16	1	.	met	4
8	0	.	her	6
16	0	1	I	5
16	1	.	was-	6
16	0	.	-ted	3
16	0	.	no	6
8.	1	.	time	5
8	1	3	but	6
=8	=8	=8	=8	=8
16	1	.	stuck	1
8	0	.	up	6
16	0	.	Ro-	5
8.	1	.	-xanne	6
16	.	.	.	4
16	1	1	paid	6
16	0	.	me	5
16	0	.	no	6
8.	1	.	mind	3
16	.	.	.	6
16	0	3	she	5
=9	=9	=9	=9	=9
16	1	.	thought	1
16	0	.	my	6
16	1	.	name	5
16	0	.	was	6
16	1	.	Barr-	4
16	0	.	-y	6
16	.	.	.	5
16	0	3	I	6
16	1	.	told	3
16	0	.	her	6
16	1	.	it	5
16	0	.	was	6
16	1	.	Ga-	4
16	0	.	-ry	6
16	.	.	.	5
16	0	3	she	6
=10	=10	=10	=10	=10
16	1	.	said	1
16	0	.	she	6
16	1	.	di-	5
16	0	.	-dn't	6
16	1	.	like	4
16	0	.	it	6
16	1	.	so	5
16	0	.	she	6
16	1	.	chose	3
16	0	.	to	6
16	1	.	call	5
16	0	.	me	6
16	1	.	Barr-	4
16	0	.	-y	6
16	.	.	.	5
16	0	4	she	6
=11	=11	=11	=11	=11
16	1	.	said	1
16	0	.	she'd	6
16	1	.	love	5
16	0	.	to	6
16	1	.	ma-	4
16	0	.	-rry	6
16	.	.	.	5
16	0	3	my	6
16	1	.	ba-	3
16	0	.	-by	6
16	1	.	she	5
16	0	.	would	6
16	1	.	carr-	4
16	0	.	-y	6
16	.	.	.	5
16	0	3	and	6
=12	=12	=12	=12	=12
16	1	.	if	1
16	0	.	she	6
16	1	.	had	5
16	0	.	a	6
16	1	.	ba-	4
16	0	.	-by	6
16	0	1	she'd	5
8	1	.	name	6
16	0	.	the	3
16	1	.	ba-	6
16	0	.	-by	5
16	1	.	Ha-	6
8	0	.	-rry	4
16	0	3	her	6
=13	=13	=13	=13	=13
16	1	.	mo-	1
16	0	.	-ther's	6
16	1	.	name	5
16	0	.	is	6
16	1	.	ba-	4
16	0	.	-by	6
16	1	.	which	5
16	0	.	is	6
16	1	.	rea-	3
16	0	.	-lly	6
16	1	.	quite	5
16	0	.	con-	6
16	1	.	-trar-	4
16	0	.	-y	6
16	.	.	.	5
16	0	3	her	6
=14	=14	=14	=14	=14
16	1	.	face	1
16	0	.	is	6
16	1	.	rea-	5
16	0	.	-lly	6
16	1	.	hair-	4
16	0	.	-y	6
16	.	.	.	5
16	0	3	and	6
16	1	.	you	3
16	0	.	can	6
16	1	.	say	5
16	0	.	it's	6
16	1	.	scar-	4
16	0	.	-y	6
16	.	.	.	5
16	0	3	so	6
=15	=15	=15	=15	=15
16	1	.	is-	1
8	0	.	-n't	6
16	0	.	not	5
16	1	.	e-	6
16	0	.	-very	4
16	.	.	.	6
16	0	1	her	5
16	1	.	fa-	6
8	0	.	-ther's	3
16	0	.	a	6
16	1	.	fair-	5
16	0	.	-y	6
16	.	.	.	4
16	0	3	his	6
=16	=16	=16	=16	=16
16	1	.	job	1
16	0	.	is	6
16	1	.	se-	5
16	0	.	-con-	6
16	1	.	-dar-	4
16	0	.	-y	6
16	0	.	in	5
8	1	.	some	6
16	0	.	some	3
16	1	.	mi-	6
16	0	.	-li-	5
16	1	.	-tar-	6
16	0	.	-y	4
16	.	.	.	6
16	0	4	he	5
=17	=17	=17	=17	=17
16	1	.	throws	1
16	0	.	them	6
16	1	.	to	5
16	0	.	e-	6
16	1	.	-lec-	4
16	0	.	-tric	6
16	1	.	camp	5
16	0	.	that	6
16	1	.	wa-	3
16	0	.	-sn't	6
16	1	.	vo-	5
16	0	.	-lun-	6
16	1	.	-tar-	4
16	0	.	-y	6
16	.	.	.	5
16	0	3	his	6
