=0	=0	=0	=0	=0
2.	.	.	.	1
16	.	.	.	6
16	0	4	it	5
16	1	.	was	6
16	0	.	a	4
=1	=1	=1	=1	=1
8	1	.	clear	1
8	1	.	black	6
8	1	.	night	5
16	.	.	.	6
16	0	2	a	4
8	1	.	clear	6
8	1	.	white	5
8	1	.	moon	6
16	1	3	Wa-	3
16	0	.	-rren	6
=2	=2	=2	=2	=2
16	1	.	G	1
16	0	.	was	6
16	1	.	on	5
16	0	.	the	6
8	1	.	streets	4
8	.	.	.	6
16	1	2	try-	5
16	0	.	-in'	6
16	1	.	to	3
16	0	.	con-	6
8	1	.	-sume	5
16	.	.	.	6
16	0	3	some	4
=3	=3	=3	=3	=3
8	1	.	skirts	1
16	1	.	for	6
16	0	.	the	5
8.	1	.	eve	6
16	0	.	so	4
16	1	.	I	6
16	0	.	can	5
16	1	.	get	6
8	0	.	some	3
8	1	.	funk	6
16	0	3	just	5
=4	=4	=4	=4	=4
16	1	.	ro-	1
16	0	.	-llin'	6
16	1	.	in	5
16	0	.	my	6
8.	1	.	ride	4
16	.	.	.	6
16	1	.	chi-	5
16	0	.	-llin'	6
16	1	.	all	3
16	0	.	a-	6
8	1	.	-lone	5
8	1	3	just	6
=5	=5	=5	=5	=5
16	1	.	hit	1
16	0	.	the	6
8	1	.	east-	5
8	1	.	-side	6
16	1	.	of	4
16	0	.	the	6
8	1	.	L	5
8	1	.	B	6
8	1	.	C	3
16	1	3	on	6
16	0	.	a	5
=6	=6	=6	=6	=6
16	1	.	mi-	1
16	0	.	-ssion	6
16	1	.	tryin'	5
16	0	.	to	6
8	1	.	find	4
16	1	.	mis-	6
16	0	.	-ter	5
8	1	.	Wa-	6
16	0	.	-rren	3
8.	1	.	G	6
16	1	3	seen	5
16	0	.	a	6
=7	=7	=7	=7	=7
8	1	.	car	1
16	1	.	full	6
16	0	.	of	5
8	1	.	girls	6
16	1	.	ain't	4
16	0	.	no	6
8	1	.	need	5
16	0	.	to	6
8.	1	.	tweak	3
32	1	3	all	6
32	0	.	of	5
16	0	.	you	6
=8	=8	=8	=8	=8
8	1	.	skirts	1
16	1	.	know	6
16	0	.	what's	5
8	1	.	up	6
8	0	.	with	4
16	1	.	2	6
8	1	.	1	5
8.	1	.	3	6
16	1	4	so	3
16	0	.	I	6
=9	=9	=9	=9	=9
8	1	.	hooks	1
16	0	.	a	6
8.	1	.	left	5
8	1	.	on	6
12	1	.	2	4
12	0	.	1	6
12	0	.	and	5
12	1	.	Le-	6
12	0	.	-wis	3
12	0	3	some	6
=10	=10	=10	=10	=10
16	1	.	bro-	1
16	0	.	-thers	6
16	1	.	shoo-	5
16	0	.	-tin'	6
8	1	.	dice	4
16	1	.	so	6
16	0	.	I	5
8	1	.	said	6
8	1	.	let's	3
16	1	.	do	6
8	0	.	this	5
16	0	3	I	6
=11	=11	=11	=11	=11
16	1	.	jumped	1
8	1	.	out	6
16	0	.	the	5
8	1	.	ride	6
16	.	.	.	4
16	0	.	and	6
8	1	.	said	5
16	0	.	what's	6
8	1	.	up	3
16	.	.	.	6
8	1	3	some	5
=12	=12	=12	=12	=12
16	1	.	bro-	1
16	0	.	-thers	6
16	1	.	pulled	5
16	0	.	some	6
8	1	.	gats	4
16	1	.	so	6
16	0	.	I	5
8	1	.	said	6
8	1	.	I'm	3
8	.	.	.	6
8	1	.	stuck	5
=12	=12	=12	=12	=12
2..	.	.	.	1
16	1	4	since	6
16	0	.	these	5
=13	=13	=13	=13	=13
8	0	.	girls	1
16	1	.	pee-	6
16	0	.	-pin'	5
8	1	.	me	6
16	1	.	i'-	4
16	0	.	-ma	6
8	1	.	glide	5
16	0	.	and	6
8	1	.	swerve	3
16	0	3	these	6
16	1	.	hoo-	5
16	0	.	-kers	6
=14	=14	=14	=14	=14
16	1	.	loo-	1
16	0	.	-kin'	6
16	0	.	so	5
8	1	.	hard	6
16	0	.	they	4
8	1	.	straight	6
8	1	.	hit	5
16	0	.	the	6
8.	1	.	curb	3
16	1	3	on	6
16	0	.	to	5
=15	=15	=15	=15	=15
16	1	.	bi-	1
16	0	.	-gger	6
16	1	.	be-	5
16	0	.	-tter	6
8	1	.	things	4
16	1	.	than	6
16	0	.	some	5
8	1	.	hor-	6
16	0	.	-ny	3
8	1	.	tricks	6
16	0	3	I	5
16	1	.	see	6
16	0	.	my	4
=16	=16	=16	=16	=16
16	1	.	ho-	1
16	0	.	-mey	6
16	1	.	and	5
16	0	.	some	6
16	1	.	su-	4
16	0	.	-ckers	6
8	1	.	all	5
16	1	.	in	6
8	1	.	his	3
8.	1	.	mix	6
16	.	.	.	5
16	0	4	I'm	6
=17	=17	=17	=17	=17
16	1	.	ge-	1
8	0	.	-ttin'	6
8	1	.	jacked	5
8	.	.	.	6
16	0	2	I'm	4
16	1	.	brea-	6
16	0	.	-kin'	5
8	1	.	my-	6
8	1	.	-self	3
16	.	.	.	6
16	0	3	I	5
=18	=18	=18	=18	=18
8	1	.	can't	1
16	0	.	be-	6
8.	1	.	-lieve	5
16	.	.	.	6
16	0	.	they	4
16	1	.	ta-	6
16	0	.	-kin'	5
16	1	.	Wa-	6
8	0	.	-rren's	3
8	1	.	wealth	6
16	0	3	they	5
=19	=19	=19	=19	=19
16	1	.	took	1
8	1	.	my	6
