=0	=0	=0	=0	=0
2	.	.	.	2.58496
8	.	.	.	7.58496
16	1	4	You	6.58496
16	0	.	could	7.58496
16	1	.	have	5.58496
16	0	.	it	7.58496
8	1	.	your	6.58496
=1	=1	=1	=1	=1
8	0	.	way	2.58496
4.	.	.	.	7.58496
16	1	3	How	6.58496
16	0	.	do	7.58496
16	0	.	you	5.58496
16	1	.	want	7.58496
16	0	.	it	6.58496
16	.	.	.	7.58496
16	1	3	you	4.58496
16	0	.	gon'	7.58496
=2	=2	=2	=2	=2
12	1	.	back	2.58496
12	1	.	that	7.58496
12	1	.	thing	6.58496
16	1	.	up	7.58496
16	0	.	or	5.58496
16	1	.	should	7.58496
16	0	.	I	6.58496
16	1	.	push	7.58496
8	0	.	up	4.58496
16	1	.	on	7.58496
16	0	.	it	6.58496
16	1	3	tem-	7.58496
16	0	.	-per-	5.58496
16	0	.	-ature	7.58496
=3	=3	=3	=3	=3
8	1	.	ri-	2.58496
16	0	.	-sin'	7.58496
8	1	3	O-	6.58496
16	1	.	-K	7.58496
16	.	.	.	5.58496
16	0	2	let's	7.58496
16	1	.	go	6.58496
16	0	.	to	7.58496
16	0	.	the	4.58496
8	1	.	next	7.58496
16	1	.	le-	6.58496
8	0	.	-vel	7.58496
=4	=4	=4	=4	=4
8	1	3	dance	2.58496
8	1	.	floor	7.58496
8	1	.	jam	6.58496
8	1	.	packed	7.58496
16	1	1	hot	5.58496
16	0	.	as	7.58496
16	0	.	a	6.58496
8	1	.	tea	7.58496
32	1	.	ke-	4.58496
32	0	.	-ttle	7.58496
16	.	.	.	6.58496
16	0	4	I	7.58496
=5	=5	=5	=5	=5
16	1	.	break	2.58496
16	0	.	it	7.58496
8	1	.	down	6.58496
16	1	.	for	7.58496
16	0	.	you	5.58496
8	1	.	now	7.58496
16	1	1	ba-	6.58496
16	0	.	-by	7.58496
16	0	.	it's	4.58496
8	1	.	sim-	7.58496
16	1	.	-ple	6.58496
16	.	.	.	7.58496
16	0	3	if	5.58496
=6	=6	=6	=6	=6
8	1	.	you	2.58496
16	1	.	be	7.58496
16	0	.	a	6.58496
8	1	.	nym-	7.58496
16	0	.	-pho	5.58496
16	.	.	.	7.58496
16	1	1	I	6.58496
16	0	.	be	7.58496
16	0	.	a	4.58496
8	1	.	nym-	7.58496
8	0	.	-pho	6.58496
16	.	.	.	7.58496
=7	=7	=7	=7	=7
16	1	3	in	2.58496
16	0	.	the	7.58496
8	1	.	ho-	6.58496
16	1	.	-tel	7.58496
16	0	.	or	5.58496
16	1	.	in	7.58496
16	0	.	the	6.58496
16	1	.	back	7.58496
16	0	.	of	4.58496
16	0	.	the	7.58496
8	1	.	ren-	6.58496
16	0	.	-tal	7.58496
16	1	3	on	5.58496
16	0	.	the	7.58496
=8	=8	=8	=8	=8
16	1	.	beach	2.58496
16	0	.	or	7.58496
16	1	.	in	6.58496
16	0	.	the	7.58496
16	1	.	park	5.58496
16	.	.	.	7.58496
16	1	2	it's	6.58496
16	0	.	what-	7.58496
16	1	.	-e-	4.58496
16	0	.	-ver	7.58496
16	0	.	you	6.58496
8	1	.	in-	7.58496
16	0	.	-to	5.58496
16	1	3	got	7.58496
16	0	.	the	6.58496
=9	=9	=9	=9	=9
8	1	.	ma-	2.58496
8	0	.	-gic	7.58496
16	1	.	stick	6.58496
16	.	.	.	7.58496
16	1	3	I'm	5.58496
16	0	.	the	7.58496
8.	1	.	love	6.58496
8	1	.	doc-	7.58496
16	0	.	-tor	4.58496
16	.	.	.	7.58496
32	1	3	have	6.58496
32	0	.	your	7.58496
=10	=10	=10	=10	=10
8	1	.	friends	2.58496
16	1	.	tea-	7.58496
16	0	.	-chin'	6.58496
16	1	.	you	7.58496
16	0	.	a-	5.58496
8	1	.	-bout	7.58496
8	1	.	strong	6.58496
16	0	.	I	7.58496
8	1	.	got	4.58496
16	0	.	you	7.58496
16	.	.	.	6.58496
32	1	3	when	7.58496
32	0	.	you	5.58496
=11	=11	=11	=11	=11
16	1	.	show	2.58496
16	0	.	me	7.58496
16	1	.	what	6.58496
16	0	.	you	7.58496
16	1	.	work-	5.58496
16	0	.	-in'	7.58496
16	1	.	ba-	6.58496
16	0	.	-by	7.58496
8	.	.	.	4.58496
16	0	3	no	7.58496
16	1	.	pro-	6.58496
16	0	.	-blem	7.58496
16	1	3	get	5.58496
16	0	.	on	7.58496
16	1	.	top	6.58496
=12	=12	=12	=12	=12
16	.	.	.	2.58496
16	0	.	then	7.58496
16	1	.	get	6.58496
16	0	.	your	7.58496
16	1	.	bounce	5.58496
16	0	.	a-	7.58496
8	1	.	-round	6.58496
16	1	.	like	7.58496
16	0	.	a	4.58496
16	0	.	low	7.58496
16	1	.	ri-	6.58496
16	0	.	-der	7.58496
16	.	.	.	5.58496
16	1	4	I'm	7.58496
16	0	.	a	6.58496
=13	=13	=13	=13	=13
8	1	.	sea-	2.58496
8	0	.	-soned	7.58496
16	1	.	vet	6.58496
16	.	.	.	7.58496
16	1	1	when	5.58496
16	0	.	it	7.58496
16	1	.	come	6.58496
16	0	.	to	7.58496
16	0	.	this	4.58496
16	1	.	shit	7.58496
