=0	=0	=0	=0	=0
2..	.	.	.	2.58496
16	1	4	As	7.58496
16	0	.	I	6.58496
=1	=1	=1	=1	=1
8	1	.	walk	2.58496
16	1	.	through	7.58496
16	0	.	the	6.58496
16	1	.	va-	7.58496
16	0	.	-lley	5.58496
16	1	.	of	7.58496
16	0	.	the	6.58496
16	1	.	sha-	7.58496
16	0	.	-dow	4.58496
16	0	.	of	7.58496
16	1	.	death	6.58496
16	.	.	.	7.58496
16	0	3	I	5.58496
16	1	.	take	7.58496
16	0	.	a	6.58496
=2	=2	=2	=2	=2
16	1	.	look	2.58496
16	0	.	at	7.58496
16	0	.	my	6.58496
16	1	.	life	7.58496
16	.	.	.	5.58496
16	0	.	and	7.58496
16	1	.	re-	6.58496
16	0	.	-a-	7.58496
8	1	.	-lize	4.58496
16	0	.	there's	7.58496
16	1	.	nu-	6.58496
16	0	.	-ttin'	7.58496
16	1	.	left	5.58496
16	.	.	.	7.58496
16	0	3	'Cause	6.58496
=3	=3	=3	=3	=3
8	1	.	I've	2.58496
8	1	.	been	7.58496
16	1	.	blas-	6.58496
16	0	.	-tin'	7.58496
16	0	.	and	5.58496
8	1	.	laugh-	7.58496
16	0	.	-in'	6.58496
16	0	.	so	7.58496
8	1	.	long	4.58496
16	1	.	that	7.58496
8	.	.	.	6.58496
=4	=4	=4	=4	=4
24	1	3	E-	2.58496
24	0	.	-ven	7.58496
24	0	.	my	6.58496
16	1	.	ma-	7.58496
16	0	.	-ma	5.58496
8	1	.	thinks	7.58496
16	1	.	that	6.58496
16	0	.	my	7.58496
8	1	.	mind	4.58496
16	0	.	is	7.58496
8	1	.	gone	6.58496
16	0	3	But	7.58496
16	1	.	I	5.58496
16	0	.	ain't	7.58496
=5	=5	=5	=5	=5
16	1	.	ne-	2.58496
16	0	.	-ver	7.58496
16	1	.	crossed	6.58496
16	0	.	a	7.58496
8	1	.	man	5.58496
16	0	.	that	7.58496
16	1	.	di-	6.58496
16	0	.	-dn't	7.58496
16	0	.	de-	4.58496
16	1	.	-serve	7.58496
16	0	.	it	6.58496
8	.	.	.	7.58496
16	1	3	Me	5.58496
16	0	.	be	7.58496
=6	=6	=6	=6	=6
16	1	.	trea-	2.58496
16	0	.	-ted	7.58496
16	1	.	like	6.58496
16	0	.	a	7.58496
8	1	.	punk	5.58496
16	0	.	you	7.58496
8	1	.	know	6.58496
16	1	.	that's	7.58496
16	0	.	un-	4.58496
8	1	.	-heard	7.58496
16	1	.	of	6.58496
16	.	.	.	7.58496
16	0	3	You	5.58496
=7	=7	=7	=7	=7
16	1	.	be-	2.58496
16	0	.	-tter	7.58496
8	1	.	watch	6.58496
16	1	.	how	7.58496
16	0	.	you	5.58496
16	1	.	tal-	7.58496
16	0	.	-kin'	6.58496
16	.	.	.	7.58496
16	0	3	and	4.58496
16	1	.	where	7.58496
16	0	.	you	6.58496
16	1	.	wal-	7.58496
16	0	.	-kin'	5.58496
16	.	.	.	7.58496
16	0	3	Or	6.58496
=8	=8	=8	=8	=8
8	1	.	you	2.58496
16	1	.	and	7.58496
16	0	.	your	6.58496
16	1	.	ho-	7.58496
16	0	.	-mies	5.58496
16	1	.	might	7.58496
16	0	.	be	6.58496
8	1	.	lined	7.58496
16	0	.	in	4.58496
16	1	.	chalk	7.58496
8.	.	.	.	6.58496
16	0	4	I	7.58496
=9	=9	=9	=9	=9
16	1	.	rea-	2.58496
16	0	.	-lly	7.58496
16	1	.	hate	6.58496
16	0	.	to	7.58496
8	1	.	trip	5.58496
16	1	.	but	7.58496
16	0	.	I	6.58496
16	1	.	go-	7.58496
16	0	.	-tta	4.58496
8	1	.	loc	7.58496
8	.	.	.	6.58496
16	1	3	As	7.58496
16	0	.	they	5.58496
=10	=10	=10	=10	=10
16	1	.	croak	2.58496
16	0	.	I	7.58496
16	1	.	see	6.58496
16	0	.	my-	7.58496
8	1	.	-self	5.58496
16	1	.	in	7.58496
16	0	.	the	6.58496
16	1	.	pis-	7.58496
16	0	.	-tol	4.58496
8	1	.	smoke	7.58496
16	.	.	.	6.58496
8	1	.	fool	7.58496
16	.	.	.	5.58496
=11	=11	=11	=11	=11
16	1	3	I'm	2.58496
16	0	.	the	7.58496
16	1	.	kin-	6.58496
16	0	.	-da	7.58496
16	1	.	G	5.58496
16	0	.	the	7.58496
16	1	.	li-	6.58496
16	0	.	-ttle	7.58496
16	1	.	ho-	4.58496
16	0	.	-mies	7.58496
16	1	.	wa-	6.58496
16	0	.	-nna	7.58496
16	1	.	be	5.58496
16	0	3	like	7.58496
16	1	.	On	6.58496
16	0	.	my	7.58496
=12	=12	=12	=12	=12
8	1	.	knees	2.58496
16	1	.	in	7.58496
16	0	.	the	6.58496
8	1	.	night	7.58496
16	1	.	say-	5.58496
16	0	.	-in'	7.58496
16	1	.	pra-	6.58496
16	0	.	-yers	7.58496
16	1	.	in	4.58496
16	0	.	the	7.58496
8	1	.	street	6.58496
8	1	.	light	7.58496
=0	=0	=0	=0	=0
2.	.	.	.	2.58496
8.	.	.	.	7.58496
16	0	4	Look	6.58496
=1	=1	=1	=1	=1
16	1	.	at	2.58496
16	0	.	the	7.58496
16	1	.	si-	6.58496
16	0	.	-tu-	7.58496
16	1	.	-a-	5.58496
8	0	.	-tion	7.58496
16	0	.	they	6.58496
16	1	.	got	7.58496
16	0	.	me	4.58496
16	1	.	fa-	7.58496
8	0	.	-cin'	6.58496
16	.	.	.	7.58496
16	1	3	I	5.58496
16	0	.	can't	7.58496
=2	=2	=2	=2	=2
16	1	.	live	2.58496
16	0	.	a	7.58496
16	1	.	nor-	6.58496
16	0	.	-mal	7.58496
16	1	.	life	5.58496
16	.	.	.	7.58496
16	1	.	I	6.58496
16	0	.	was	7.58496
8	1	.	raised	4.58496
16	1	.	by	7.58496
16	0	.	the	6.58496
16	1	.	strict	7.58496
16	.	.	.	5.58496
16	1	3	So	7.58496
16	0	.	I	6.58496
=3	=3	=3	=3	=3
16	1	.	go-	2.58496
16	0	.	-tta	7.58496
8	1	.	be	6.58496
8	1	.	down	7.58496
16	1	.	with	5.58496
16	0	.	the	7.58496
8	1	.	hood	6.58496
8	1	.	team	7.58496
8	.	.	.	4.58496
16	1	3	Too	7.58496
