=1	=1	=1	=1	=1
8	1	4	One	2.58496
8	.	.	.	7.58496
8	1	.	two	6.58496
8	.	.	.	7.58496
16	1	.	three	5.58496
16	0	.	and	7.58496
16	1	.	to	6.58496
16	0	.	the	7.58496
16	.	.	.	4.58496
8	1	.	fo'	7.58496
16	.	.	.	6.58496
=2	=2	=2	=2	=2
8	1	3	Snoop	2.58496
16	1	.	Do-	7.58496
16	0	.	-ggy	6.58496
16	1	.	Dogg	7.58496
16	0	.	and	5.58496
16	1	.	Doc-	7.58496
16	0	.	-tor	6.58496
16	1	.	Dre	7.58496
16	0	.	is	4.58496
16	1	.	at	7.58496
16	0	.	the	6.58496
16	.	.	.	7.58496
8	1	.	do'	5.58496
16	.	.	.	7.58496
=3	=3	=3	=3	=3
24	1	3	Rea-	2.58496
24	0	.	-dy	7.58496
24	0	.	to	6.58496
16	1	.	make	7.58496
16	0	.	an	5.58496
16	1	.	en-	7.58496
8	0	.	-trance	6.58496
16	0	.	so	7.58496
16.	1	.	back	4.58496
16.	1	.	on	7.58496
8	1	.	up	6.58496
16	.	.	.	7.58496
16	1	3	'cause	5.58496
16	0	.	you	7.58496
=4	=4	=4	=4	=4
16	1	.	know	2.58496
16	0	.	we're	7.58496
16	1	.	bout	6.58496
16	0	.	to	7.58496
8	1	.	rip	5.58496
16	0	.	shit	7.58496
8	1	.	up	6.58496
16	.	.	.	7.58496
24	1	3	Gi-	4.58496
24	0	.	-mme	7.58496
24	0	.	the	6.58496
16	1	.	mi-	7.58496
16	0	.	-cro-	5.58496
16	0	.	-phone	7.58496
8	1	.	first	6.58496
=5	=5	=5	=5	=5
16	0	.	so	2.58496
16	1	.	I	7.58496
16	0	.	can	6.58496
8	1	.	bust	7.58496
16	1	.	like	5.58496
16	0	.	a	7.58496
16	1	.	bu-	6.58496
8	0	.	-bble	7.58496
16	.	.	.	4.58496
16	1	3	Comp-	7.58496
16	0	.	-ton	6.58496
16	0	.	and	7.58496
8	1	.	Long	5.58496
=6	=6	=6	=6	=6
8	1	.	Beach	2.58496
16	0	2	to-	7.58496
16	1	.	-ge-	6.58496
16	0	.	-ther	7.58496
16	1	.	now	5.58496
16	0	.	you	7.58496
16	1	.	know	6.58496
16	0	.	you	7.58496
16	0	.	in	4.58496
16	1	.	trou-	7.58496
16	0	.	-ble	6.58496
16	.	.	.	7.58496
8	1	3	Ain't	5.58496
=7	=7	=7	=7	=7
16	1	.	nu-	2.58496
16	0	.	-ttin'	7.58496
16	1	.	but	6.58496
16	0	.	a	7.58496
8	1	.	G	5.58496
8	0	.	thang	7.58496
8.	1	.	ba-	6.58496
8	1	.	-by	7.58496
16	.	.	.	4.58496
8	1	3	Two	7.58496
=8	=8	=8	=8	=8
8	1	.	loc'ed	2.58496
8	0	.	out	7.58496
16	1	.	ni-	6.58496
16	0	.	-ggaz	7.58496
16	1	.	so	5.58496
16	0	.	we're	7.58496
8.	1	.	cra-	6.58496
8	1	.	-zy	7.58496
16	.	.	.	4.58496
8	1	3	Death	7.58496
=9	=9	=9	=9	=9
8	1	.	Row	2.58496
16	1	.	is	7.58496
16	0	.	the	6.58496
16	1	.	la-	7.58496
16	0	.	-bel	5.58496
8	1	.	that	7.58496
8.	1	.	pays	6.58496
8	1	.	me	7.58496
16	.	.	.	4.58496
8	1	3	Un-	7.58496
=10	=10	=10	=10	=10
16	1	.	-fade-	2.58496
16	0	.	-a-	7.58496
16	1	.	-ble	6.58496
16	0	.	so	7.58496
16	1	.	please	5.58496
16	0	.	don't	7.58496
16	1	.	try	6.58496
16	0	.	to	7.58496
16	.	.	.	4.58496
8	1	.	fade	7.58496
8	1	.	this	6.58496
16	0	4	But	7.58496
8	1	.	uh	5.58496
=11	=11	=11	=11	=11
8	1	.	back	2.58496
16	1	.	to	7.58496
16	0	.	the	6.58496
16	1	.	lec-	7.58496
16	0	.	-ture	5.58496
8	1	.	at	7.58496
4	1	.	hand	6.58496
8.	.	.	.	7.58496
16	0	3	Per-	4.58496
=12	=12	=12	=12	=12
16	1	.	-fec-	2.58496
16	0	.	-tion	7.58496
16	1	.	is	6.58496
16	0	.	per-	7.58496
16	1	.	-fec-	5.58496
16	0	.	-ted	7.58496
16	1	.	so'm-	6.58496
16	0	.	-a	7.58496
16	1	.	let	4.58496
