=1	=1	=1	=1	=1
16	.	.	.	2.58496
16	0	4	I	7.58496
16	1	.	tell	6.58496
16	0	.	a	7.58496
8	1	.	bad	5.58496
8	1	.	bitch	7.58496
16	1	2	do	6.58496
16	0	.	what-	7.58496
16	1	.	-e-	4.58496
16	0	.	-ver	7.58496
8	1	.	I	6.58496
8.	1	.	say	7.58496
=2	=2	=2	=2	=2
16	0	3	My	2.58496
16	1	.	block	7.58496
16	0	.	be-	6.58496
16	1	.	-hind	7.58496
16	0	.	me	5.58496
16	1	.	like	7.58496
16	0	.	Im	6.58496
16	1	.	co-	7.58496
16	0	.	-min'	4.58496
16	1	.	out	7.58496
16	0	.	the	6.58496
8	1	.	drive-	7.58496
8.	1	.	-way	5.58496
=3	=3	=3	=3	=3
16	0	3	Its	2.58496
8	1	.	grind	7.58496
16	0	.	day	6.58496
16	0	.	from	7.58496
8	1	.	Fri-	5.58496
16	0	.	-day	7.58496
16	0	.	to	6.58496
8	1	.	next	7.58496
8	1	.	Fri-	4.58496
8	0	.	-day	7.58496
=4	=4	=4	=4	=4
16	1	3	I	2.58496
16	0	.	been	7.58496
8	1	.	up	6.58496
16	1	.	straight	7.58496
16	0	.	for	5.58496
8	1	.	nine	7.58496
16	0	.	days	6.58496
16	0	2	I	7.58496
16	1	.	need	4.58496
16	0	.	a	7.58496
8	1	.	spa	6.58496
8	0	.	day-	7.58496
=5	=5	=5	=5	=5
8	.	.	.	2.58496
8	1	0	yup	7.58496
8.	.	.	.	6.58496
16	0	4	She	7.58496
16	1	.	try	5.58496
32	0	.	in	7.58496
16	1	.	get	6.58496
32	0	.	me	7.58496
16	1	.	that	4.58496
16.	1	.	poo	7.58496
16.	1	.	tang	6.58496
16	0	3	I	7.58496
=6	=6	=6	=6	=6
16.	1	.	might	2.58496
16.	1	.	let	7.58496
16	0	.	my	6.58496
16.	1	.	crew	7.58496
16.	1	.	bang	5.58496
16	0	3	My	7.58496
16.	1	.	crew	6.58496
16	1	.	dee-	7.58496
32	0	.	-per	4.58496
16	1	.	than	7.58496
16.	1	.	Wu	6.58496
16.	1	.	Tang	7.58496
16	0	3	I'm	5.58496
=7	=7	=7	=7	=7
16	1	.	ro-	2.58496
32	0	.	-llin'	7.58496
16.	1	.	with	6.58496
8	1	.	Huh	7.58496
16	1	.	fuck	5.58496
16	0	.	Im	7.58496
32	1	.	say-	6.58496
16	0	.	-in'	7.58496
16	1	2	Girl	4.58496
32	0	.	you	7.58496
16	1	.	know	6.58496
16	0	.	my	7.58496
16.	1	.	crew	5.58496
16.	1	.	name	7.58496
32	1	3	You	6.58496
32	0	.	know	7.58496
