=0	=0	=0	=0	=0
32%31	.	.	.	2.58496
32	0	4	My	7.58496
=1	=1	=1	=1	=1
16	1	.	ba-	2.58496
8	0	.	-by's	7.58496
8	1	.	dra-	6.58496
16	0	.	-ma	7.58496
16	1	.	ma-	5.58496
8	0	.	-ma	7.58496
16	0	.	don't	6.58496
16	1	.	like	7.58496
16	0	.	me.	4.58496
24	0	3	She	7.58496
24	1	.	do-	6.58496
24	0	.	-in'	7.58496
16	1	.	things	5.58496
16	0	.	like	7.58496
=2	=2	=2	=2	=2
24	1	.	ha-	2.58496
24	0	.	-vin'	7.58496
24	0	.	them	6.58496
16	1	.	boys	7.58496
16	0	.	come	5.58496
24	1	.	from	7.58496
24	0	.	her	6.58496
24	1	.	neigh-	7.58496
16	0	.	-bor-	4.58496
16	1	.	-hood	7.58496
16	0	.	to	6.58496
16	0	.	the	7.58496
24	1	.	stu-	5.58496
24	0	.	-di-	7.58496
24	0	.	-o	6.58496
24	1	.	try-	7.58496
24	0	.	-in'	3.58496
24	0	.	to	7.58496
16	1	.	fight	6.58496
32	0	.	me.	7.58496
32	0	3	She	5.58496
=3	=3	=3	=3	=3
32	1	.	need	2.58496
32	0	.	to	7.58496
16	1	.	get	6.58496
8	1	.	a	7.58496
24	1	.	piece	5.58496
24	0	.	of	7.58496
24	0	.	A-	6.58496
24	1	.	-mer-	7.58496
24	0	.	-i-	4.58496
24	0	.	-can	7.58496
16	1	.	pie	6.58496
16	0	.	and	7.58496
16	1	.	take	5.58496
16	0	.	her	7.58496
16	1	.	bite	6.58496
8	0	.	out.	7.58496
16	0	3	That's	3.58496
=4	=4	=4	=4	=4
16	1	.	my	2.58496
8	0	.	house.	7.58496
32	.	.	.	6.58496
32	0	3	I	7.58496
16	1	.	dis-	5.58496
16	0	.	-co-	7.58496
16	1	.	-nnect	6.58496
16	0	.	the	7.58496
16	1	.	ca-	4.58496
32	0	.	-ble	7.58496
32	0	.	and	6.58496
16	1	.	turn	7.58496
16	0	.	the	5.58496
8	1	.	lights	7.58496
16	0	.	out.	6.58496
32	.	.	.	7.58496
32	0	3	And	3.58496
=5	=5	=5	=5	=5
16	1	.	let	2.58496
16	0	.	her	7.58496
16	1	.	know	6.58496
16	0	.	her	7.58496
16	1	.	grand-	5.58496
8	0	.	-child	7.58496
32	1	.	is	6.58496
32	0	.	a	7.58496
16	1	.	ba-	4.58496
16.	0	.	-by	7.58496
32	0	.	and	6.58496
32	1	.	not	7.58496
32	0	.	a	5.58496
16	1	.	pay-	7.58496
8	1	.	-check.	6.58496
16	.	.	.	7.58496
=6	=6	=6	=6	=6
16	1	3	Pri-	2.58496
16	0	.	-vate	7.58496
8	1	.	school	6.58496
16	1	.	day	7.58496
8	1	.	care	5.58496
16	0	.	shit	7.58496
24	1	.	me-	6.58496
24	0	.	-di-	7.58496
24	0	.	-cal	4.58496
16	1	.	bills	7.58496
16	0	.	I	6.58496
16	1	.	pay	7.58496
8	1	.	that.	5.58496
32	.	.	.	7.58496
32	0	3	I	6.58496
=7	=7	=7	=7	=7
16	1	.	love	2.58496
16	0	.	your	7.58496
16	1	.	mom	6.58496
16	0	.	and	7.58496
32	1	.	e-	5.58496
32	0	.	-very-	7.58496
8	1	.	-thing	6.58496
16	0	.	see	7.58496
24	1	.	I	4.58496
24	0	.	ain't	7.58496
24	0	.	the	6.58496
16	1	.	one	7.58496
16	0	.	who	5.58496
16	1	.	laid	7.58496
8	1	.	down.	6.58496
32	.	.	.	7.58496
32	0	3	She	3.58496
=8	=8	=8	=8	=8
16	1	.	wa-	2.58496
16	0	.	-nna	7.58496
16	1	.	rib	6.58496
32	0	.	you	7.58496
16	1	.	up	5.58496
32	1	.	start	7.58496
16	0	.	a	6.58496
24	1	.	cus-	7.58496
24	0	.	-to-	4.58496
24	0	.	-dy	7.58496
16	1	.	war	6.58496
16	0	.	my	7.58496
16	1	.	law-	5.58496
16	0	.	-yers	7.58496
16	1	.	stay	6.58496
8	1	.	down.	7.58496
32	.	.	.	3.58496
32	0	3	You	7.58496
=9	=9	=9	=9	=9
16	1	.	ne-	2.58496
16	0	.	-ver	7.58496
16	1	.	got	6.58496
16	0	.	a	7.58496
16	1	.	chance	5.58496
32	0	.	to	7.58496
32	1	.	hear	6.58496
16	0	.	my	7.58496
32	1	.	side	4.58496
32	0	.	of	7.58496
16	0	.	the	6.58496
32	1	.	stor-	7.58496
32	0	.	-y.	5.58496
24	1	.	We	7.58496
24	0	.	was	6.58496
24	0	.	di-	7.58496
16	1	.	-vi-	3.58496
16	0	.	-ded.	7.58496
16	.	.	.	6.58496
32	1	3	She	7.58496
32	0	.	had	5.58496
=10	=10	=10	=10	=10
16	1	.	fish	2.58496
8	1	.	fries	7.58496
16	0	.	and	6.58496
16	1	.	cook-	7.58496
8	1	.	-outs	5.58496
32	0	.	for	7.58496
32	0	.	my	6.58496
24	1	.	child's	7.58496
24	1	.	birth-	4.58496
24	0	.	-day	7.58496
24	0	.	I	6.58496
24	1	.	ain't	7.58496
24	0	.	in-	5.58496
16	1	.	-vi-	7.58496
8	0	.	-ted.	6.58496
16	0	3	Des-	7.58496
=11	=11	=11	=11	=11
16	1	.	-pite	2.58496
8	0	.	it	7.58496
32	.	.	.	6.58496
32	0	3	I	7.58496
24	1	.	show	5.58496
24	1	.	her	7.58496
24	0	.	the	6.58496
16	1	.	ut-	7.58496
16	1	.	-most	4.58496
16	0	.	re-	7.58496
8	1	.	-spect	6.58496
32	1	.	when	7.58496
32	0	.	I	5.58496
8	1	.	fall	7.58496
16	1	.	through.	6.58496
16	.	.	.	7.58496
=12	=12	=12	=12	=12
8	1	3	All	2.58496
8	1	.	you	7.58496
24	1	.	do	6.58496
24	0	.	is	7.58496
24	0	.	de-	5.58496
16	1	.	-fend	7.58496
16	0	.	that	6.58496
16	1	.	la-	7.58496
16	0	.	-dy	4.58496
16	.	.	.	7.58496
32	1	.	when	6.58496
32	0	.	I	7.58496
8	1	.	call	5.58496
8	1	.	you.	7.58496
=1	=1	=1	=1	=1
16	.	.	.	2.58496
16	1	4	Ten	7.58496
8	1	.	times	6.58496
16	1	.	out	7.58496
16	0	.	of	5.58496
8	1	.	nine	7.58496
16	.	.	.	6.58496
16	0	3	Now	7.58496
16	1	.	if	4.58496
16	0	.	I'm	7.58496
16	1	.	ly-	6.58496
16	0	.	-in'	7.58496
8	1	.	find	5.58496
=2	=2	=2	=2	=2
16	.	.	.	2.58496
16	0	3	the	7.58496
16	1	.	qui-	6.58496
16	0	.	-ckest	7.58496
16	1	.	mu-	5.58496
16	0	.	-zzle	7.58496
16	1	.	throw	6.58496
16	0	.	it	7.58496
16	1	.	on	4.58496
16	0	.	my	7.58496
16	1	.	mouth	6.58496
16	0	.	and	7.58496
16	1	.	I'll	5.58496
16	0	.	de-	7.58496
8	1	.	-cline	6.58496
=3	=3	=3	=3	=3
16	.	.	.	2.58496
16.	1	3	King	7.58496
16.	1	.	meets	6.58496
8	1	.	queen	7.58496
16	1	.	then	5.58496
16	0	.	the	7.58496
16	1	.	pu-	6.58496
16	0	.	-ppy	7.58496
16	0	.	love	4.58496
8	1	.	thing	7.58496
16	0	3	To-	6.58496
16	1	.	-ge-	7.58496
16	0	.	-ther	5.58496
=4	=4	=4	=4	=4
8	1	.	dream	2.58496
16	1	.	bout	7.58496
16	0	.	that	6.58496
8	1	.	crib	7.58496
16	1	.	with	5.58496
16	0	.	the	7.58496
16.	1	.	good-	6.58496
16.	0	.	-year	7.58496
8	1	.	swing	4.58496
16	.	.	.	7.58496
16	1	3	On	6.58496
16	0	.	the	7.58496
=5	=5	=5	=5	=5
16.	1	.	oak	2.58496
16.	1	.	tree	7.58496
16	0	3	I	6.58496
16.	1	.	hope	7.58496
16.	1	.	we	5.58496
8	1	3	feel	7.58496
16	0	.	like	6.58496
16	1	.	this	7.58496
16	0	.	for-	4.58496
16	1	.	-e-	7.58496
16	0	.	-ver	6.58496
16	.	.	.	7.58496
16	0	3	for-	5.58496
=6	=6	=6	=6	=6
16	1	.	-e-	2.58496
16	0	.	-ver	7.58496
16	.	.	.	6.58496
16	0	3	for-	7.58496
16	1	.	-e-	5.58496
16	0	.	-ver	7.58496
16	1	.	e-	6.58496
16	0	.	-ver	7.58496
16	.	.	.	4.58496
16	0	3	for-	7.58496
16	1	.	-e-	6.58496
16	0	.	-ver	7.58496
16	1	.	e-	5.58496
16	0	.	-ver	7.58496
16	.	.	.	6.58496
16	0	3	for-	7.58496
=7	=7	=7	=7	=7
16	1	.	-e-	2.58496
16	0	.	-ver	7.58496
16	1	.	ne-	6.58496
16	0	.	-ver	7.58496
16	1	.	seems	5.58496
8	0	.	that	7.58496
8	1	.	long	6.58496
16	0	.	un-	7.58496
16	1	.	-til	4.58496
16	0	.	you're	7.58496
8	1	.	grown	6.58496
16	.	.	.	7.58496
16	0	3	And	5.58496
=8	=8	=8	=8	=8
16	1	.	no-	2.58496
16	0	.	-tice	7.58496
16	1	.	that	6.58496
16	0	.	the	7.58496
16	1	.	day	5.58496
16	0	.	by	7.58496
16	0	.	day	6.58496
16	1	.	ru-	7.58496
16	0	.	-ler	4.58496
16	0	.	can't	7.58496
16	1	.	be	6.58496
16	0	.	too	7.58496
8	1	.	wrong	5.58496
16	.	.	.	7.58496
16	0	3	Ms	6.58496
=9	=9	=9	=9	=9
16	1	.	Jack-	2.58496
16	0	.	-son	7.58496
16	1	.	my	6.58496
16	0	.	in-	7.58496
16	1	.	-ten-	5.58496
16	0	.	-tions	7.58496
16	0	.	were	6.58496
8	1	.	good	7.58496
16	0	2	I	4.58496
16	1	.	wish	7.58496
16	0	.	I	6.58496
8	1	.	could	7.58496
16	.	.	.	5.58496
16	0	3	be-	7.58496
=10	=10	=10	=10	=10
16	1	.	-come	2.58496
16	0	.	a	7.58496
16	0	.	ma-	6.58496
16	1	.	-gi-	7.58496
