=0	=0	=0	=0	=0
4..	.	.	.	2.58496
16	0	0	Mi-	7.58496
16	1	.	-a-	6.58496
8	0	.	-mi	7.58496
16	1	.	e-	5.58496
8	0	.	-quals	7.58496
8	.	.	.	6.58496
=1	=1	=1	=1	=1
8.	1	4	black	2.58496
8.	1	.	mask	7.58496
8	.	.	.	6.58496
8.	1	3	black	7.58496
8.	1	.	gloves	5.58496
16	1	3	with	7.58496
16	0	.	a	6.58496
=2	=2	=2	=2	=2
16	1	.	li-	2.58496
16	0	.	-ttle	7.58496
16	1	.	bit	6.58496
16	0	.	of	7.58496
8	1	.	rope	5.58496
16	0	.	to	7.58496
8.	1	.	tie	6.58496
16	.	.	.	7.58496
16	0	3	I	4.58496
8	1	.	flipped	7.58496
8	0	.	it	6.58496
=3	=3	=3	=3	=3
8.	1	3	black	2.58496
8.	1	.	suits	7.58496
8	.	.	.	6.58496
8.	1	3	white	7.58496
8.	1	.	shirts	5.58496
8	.	.	.	7.58496
=4	=4	=4	=4	=4
8.	1	3	black	2.58496
8	1	.	gla-	7.58496
16	0	.	-sses	6.58496
16	1	.	with	7.58496
16	0	.	a	5.58496
8	1	.	ma-	7.58496
16	0	.	-tchin'	6.58496
8.	1	.	tie	7.58496
8	1	3	like	4.58496
=5	=5	=5	=5	=5
8	1	.	a-	2.58496
16	0	.	-gent	7.58496
8.	1	.	J	6.58496
8	1	3	or	7.58496
8	1	.	a-	5.58496
16	0	.	-gent	7.58496
8.	1	.	K	6.58496
16	1	3	and	7.58496
16	0	.	I	4.58496
=6	=6	=6	=6	=6
16	1	.	wish	2.58496
16	0	.	the	7.58496
8	1	.	whole	6.58496
8.	1	.	world	7.58496
4	1	.	would	5.58496
16	.	.	.	7.58496
8	1	3	o-	6.58496
8	1	.	-kay	7.58496
=7	=7	=7	=7	=7
8.	.	.	.	2.58496
16	0	4	I'm	7.58496
16	1	.	try-	6.58496
16	0	.	-na	7.58496
16	1	.	make	5.58496
16	0	.	a	7.58496
16	1	.	bill-	6.58496
16	0	.	-ion	7.58496
16	1	.	out	4.58496
16	0	.	of	7.58496
8	1	.	fif-	6.58496
8	1	.	-teen	7.58496
=8	=8	=8	=8	=8
4	1	.	cents	2.58496
8	.	.	.	7.58496
16	1	3	un-	6.58496
16	0	.	-der-	7.58496
8	1	.	-stand	5.58496
16	1	.	un-	7.58496
16	0	.	-der-	6.58496
8	1	.	-stood	7.58496
16	1	3	I'm	4.58496
16	0	.	a	7.58496
=9	=9	=9	=9	=9
8	1	.	go	2.58496
16	.	.	.	7.58496
16	1	.	ge-	6.58496
8	0	.	-tter	7.58496
16	1	3	mo-	5.58496
8	0	.	-ver	7.58496
16	1	.	sha-	6.58496
8	0	.	-ker	7.58496
16	1	.	cul-	4.58496
8	0	.	-ture	7.58496
16	.	.	.	6.58496
=10	=10	=10	=10	=10
16	1	3	bur-	2.58496
16	0	.	-y	7.58496
16	0	.	a	6.58496
8	1	.	boar-	7.58496
16	0	.	-der	5.58496
16	1	3	re-	7.58496
8	0	.	-cord	6.58496
16	1	.	brea-	7.58496
8	0	.	-ker	4.58496
8	1	.	won't	7.58496
8	0	.	cha	6.58496
=11	=11	=11	=11	=11
8.	1	3	give	2.58496
16	1	.	cre-	7.58496
16	0	.	-dit	6.58496
16	0	.	where	7.58496
16	1	.	cre-	5.58496
16	0	.	-dit	7.58496
16	0	.	is	6.58496
8.	1	.	due	7.58496
8	1	.	don't	4.58496
8	0	.	cha	7.58496
=12	=12	=12	=12	=12
16	1	3	know	2.58496
16	0	.	that	7.58496
16	1	.	I	6.58496
16	0	.	don't	7.58496
8	1	.	give	5.58496
8	0	.	a	7.58496
8	1	.	num-	6.58496
8	0	.	-ber	7.58496
4	1	.	two	4.58496
=0	=0	=0	=0	=0
16%13	.	.	.	2.58496
16	0	4	I	7.58496
16	1	.	got	6.58496
16	0	.	the	7.58496
=1	=1	=1	=1	=1
4	1	.	globe	2.58496
12	1	.	yeah	7.58496
12	0	3	in	6.58496
12	0	.	the	7.58496
12	1	.	palm	5.58496
12	0	.	of	7.58496
12	0	.	my	6.58496
6	1	.	hand	7.58496
12	0	3	where-	4.58496
=2	=2	=2	=2	=2
12	1	.	-e-	2.58496
12	0	.	-ver	7.58496
12	0	.	I	6.58496
16	1	.	spin	7.58496
8.	0	.	it	5.58496
8	1	3	that's	7.58496
16	0	.	where	6.58496
16	0	.	I	7.58496
4	1	.	land	4.58496
=3	=3	=3	=3	=3
4.	.	.	.	2.58496
8	0	3	let's	7.58496
8	1	.	save	6.58496
16	0	.	the	7.58496
4	1	.	world	5.58496
16	.	.	.	7.58496
=4	=4	=4	=4	=4
16	1	3	men	2.58496
8	0	.	in	7.58496
8	1	.	black	6.58496
8	.	.	.	7.58496
16	0	3	I	5.58496
16	1	.	know	7.58496
16	0	.	you	6.58496
16	1	.	un-	7.58496
16	0	.	-der-	4.58496
4	1	.	-stand	7.58496
=5	=5	=5	=5	=5
2	.	.	.	2.58496
8	1	3	stop	7.58496
16	0	.	the	6.58496
8.	1	.	move-	7.58496
8	1	.	-ment	5.58496
=6	=6	=6	=6	=6
4	.	.	.	2.58496
12	.	.	.	7.58496
12	0	3	they	6.58496
12	0	.	can	7.58496
12	1	.	try	5.58496
12	0	.	if	7.58496
12	0	.	they	6.58496
6	1	.	want	7.58496
12	0	.	to	4.58496
=7	=7	=7	=7	=7
12	.	.	.	2.58496
12	0	3	ig-	7.58496
12	0	.	-nor-	6.58496
12	1	.	-ar	7.58496
12	0	.	lo	5.58496
12	0	.	La-	7.58496
6	1	.	-ti-	6.58496
12	0	.	-no	7.58496
4	1	.	si	4.58496
=8	=8	=8	=8	=8
12	.	.	.	2.58496
12	0	3	they	7.58496
12	0	.	can	6.58496
12	1	.	try	7.58496
12	0	.	if	5.58496
12	0	.	they	7.58496
6	1	.	want	6.58496
12	0	.	to	7.58496
8	.	.	.	4.58496
8	0	3	what	7.58496
=9	=9	=9	=9	=9
8.	1	.	Pit	2.58496
8	1	.	saws	7.58496
16	0	3	a	6.58496
8.	1	.	bit	7.58496
8.	1	.	raw	5.58496
8	1	3	took	7.58496
8	1	.	like	6.58496
=10	=10	=10	=10	=10
8.	1	.	jig-	2.58496
8	1	.	-saw	7.58496
16	0	3	and	6.58496
8	1	.	built	7.58496
16	0	.	it	5.58496
8.	1	.	all	7.58496
8	1	3	des-	6.58496
16.	1	.	-pite	7.58496
32	0	.	a	4.58496
=11	=11	=11	=11	=11
8.	1	.	big	2.58496
8	1	.	loss	7.58496
16	0	3	I'd	6.58496
16	1	.	bet	7.58496
8	0	.	it	5.58496
8.	1	.	all	7.58496
8	1	3	and	6.58496
8	1	.	fought	7.58496
=12	=12	=12	=12	=12
8.	1	.	blind	2.58496
16	0	.	a-	7.58496
8	1	.	-gainst	6.58496
16	0	.	the	7.58496
8.	1	.	world	5.58496
8	0	3	Ray	7.58496
4	1	.	Charles	6.58496
!!!OTL:Back In Time
!!!RTL:Global Warning
!!!RRD:2012/03/26
!!!RRM:Mr. 305, Polo Grounds, RCA
!!!RC#:Digital
!!!BPP:11
!!!BPD:2012/06/16
!!!COC:Pitbull
!!!COL:Pitbull
!!!COM:Armando Christian Pérez
!!!CDT:1981/01/15->2016/01/
!!!ENC:Nathaniel Condit-Schultz
!!!EED:Nathaniel Condit-Schultz
!!!RDT:2014/-2016/
!!!EST:In progress
=0	=0	=0	=0	=0
2..	.	.	.	2.58496
16	1	4	take	7.58496
16	0	.	ad-	6.58496
=1	=1	=1	=1	=1
16	1	.	-van-	2.58496
16	0	.	-tage	7.58496
16	1	.	of	6.58496
16	0	.	to-	7.58496
8	1	.	-night	5.58496
4	.	.	.	7.58496
16	1	3	'cause	6.58496
16	0	.	to-	7.58496
16	1	.	-morr-	4.58496
16	0	.	-ow	7.58496
16	0	.	I'm	6.58496
8	1	.	off	7.58496
=2	=2	=2	=2	=2
16	0	.	to	2.58496
8	1	.	do	7.58496
16	1	.	ba-	6.58496
8	0	.	-ttle	7.58496
