=0	=0	=0	=0	=0
2..	.	.	.	2.58496
32	.	.	.	7.58496
32	1	4	e-	6.58496
32	0	.	-ver	7.58496
16	1	.	had	5.58496
=1	=1	=1	=1	=1
32	1	.	one	2.58496
32	0	.	of	7.58496
32	0	.	them	6.58496
16	1	.	day	7.58496
32	1	.	wish	5.58496
32	0	.	you	7.58496
32	1	.	woul-	6.58496
32	0	.	-d've	7.58496
16	1	.	stayed	4.58496
16	1	.	home	7.58496
32	1	3	run	6.58496
32	0	.	in-	7.58496
32	1	.	-to	5.58496
32	0	.	a	7.58496
32	1	.	group	6.58496
32	0	.	of	7.58496
32	1	.	ni-	3.58496
32	0	.	-ggas	7.58496
32	0	.	who	6.58496
32	1	.	ge-	7.58496
32	0	.	-ttin'	5.58496
32	0	.	they	7.58496
16	1	.	hate	6.58496
8	1	.	on	7.58496
=2	=2	=2	=2	=2
16	1	3	you	2.58496
16	1	.	walk	7.58496
8	1	.	by	6.58496
16	1	.	they	7.58496
16	1	.	get	5.58496
8	1	.	wrong	7.58496
16	1	3	you	6.58496
16	1	.	re-	7.58496
16	1	.	-ply	4.58496
16	0	.	then	7.58496
16	1	.	shit	6.58496
16	1	.	get	7.58496
16.	1	.	blown	5.58496
16	1	3	way	7.58496
=3	=3	=3	=3	=3
32	1	.	ou-	2.58496
32	0	.	-tta	7.58496
32	0	.	pro-	6.58496
32	1	.	-por-	7.58496
32	0	.	-tion	5.58496
32	.	.	.	7.58496
16	1	3	way	6.58496
16	1	.	past	7.58496
32	0	.	dis-	4.58496
32	1	.	-cu-	7.58496
32	0	.	-ssion	6.58496
16	1	3	just	7.58496
32	1	.	you	5.58496
32	0	.	a-	7.58496
16	1	.	-gainst	6.58496
16	1	.	them	7.58496
16	1	.	pick	3.58496
16	1	.	one	7.58496
16	0	.	then	6.58496
32	1	.	rush	7.58496
32	0	.	'em	5.58496
16	.	.	.	7.58496
=4	=4	=4	=4	=4
32	1	3	fi-	2.58496
32	0	.	-gure	7.58496
16	1	.	you'll	6.58496
16	1	.	get	7.58496
16	1	.	jumped	5.58496
16	1	.	hell	7.58496
16	1	.	that's	6.58496
8	1	.	nothing	7.58496
32	1	3	they	4.58496
32	0	.	don't	7.58496
32	1	.	wa-	6.58496
32	0	.	-nna	7.58496
16	1	.	stop	5.58496
16	1	.	there	7.58496
16	1	.	now	6.58496
16	1	.	they	7.58496
32	1	.	bu-	3.58496
32	0	.	-ssin'	7.58496
16	.	.	.	6.58496
=5	=5	=5	=5	=5
16	1	3	now	2.58496
16	1	.	you	7.58496
32	1	.	gu-	6.58496
32	0	.	-shin'	7.58496
16	.	.	.	5.58496
32	1	3	am-	7.58496
32	0	.	-bu-	6.58496
16	1	.	-lance	7.58496
32	1	.	ru-	4.58496
32	0	.	-shin'	7.58496
16	1	.	you	6.58496
32	1	.	to	7.58496
32	0	.	the	5.58496
16	1	.	hos-	7.58496
32	1	.	-pi-	6.58496
32	0	.	-tal	7.58496
32	1	.	with	3.58496
32	0	.	a	7.58496
16	1	.	bad	6.58496
16	1	.	con-	7.58496
32	1	.	-cu-	5.58496
32	0	.	-ssion	7.58496
32	1	3	plus	6.58496
32	0	.	ya	7.58496
=6	=6	=6	=6	=6
16	1	.	hit	2.58496
16	1	.	four	7.58496
16	1	.	times	6.58496
32	1	.	plus	7.58496
32	0	.	it	5.58496
16	1	.	hit	7.58496
16	1	.	your	6.58496
16	1	.	spine	7.58496
32	1	3	par-	4.58496
32	0	.	-a-	7.58496
16	1	.	-lyzed	6.58496
16	1	.	waist	7.58496
16	1	.	down	5.58496
32	1	.	now	7.58496
32	0	.	ya	6.58496
16	1	.	wheel	7.58496
16	1	.	chair	3.58496
16	1	.	bound	7.58496
32	1	3	ne-	6.58496
32	0	.	-ver-	7.58496
=7	=7	=7	=7	=7
16	1	.	-mind	2.58496
16	1	.	that	7.58496
16	1	.	now	6.58496
32	0	.	you	7.58496
32	1	.	lu-	5.58496
32	0	.	-cky	7.58496
32	0	.	to	6.58496
32	1	.	be	7.58496
32	0	.	a-	4.58496
16	1	.	-live	7.58496
16	1	3	just	6.58496
32	1	.	think	7.58496
32	0	.	it	5.58496
16	1	.	all	7.58496
32	1	.	star-	6.58496
32	0	.	-ted	7.58496
